X      Y      NODES     DEPOTS   CAPACITY    TRAVEL TIME     
40    50     100         1      200         1236
X      Y    DEMAND  NODE    EAR     LAT     SERVICE
45     68     10     1      850     1030    90
45     70     30     2      758     938     90
42     66     10     3      16      196     90
42     68     10     4      665     845     90
42     65     10     5      15      195     90
40     69     20     6      572     752     90
40     66     20     7      108     288     90
38     68     20     8      200     380     90
38     70     10     9      480     660     90
35     66     10     10     294     474     90
35     69     10     11     387     567     90
25     85     20     12     597     777     90
22     75     30     13     30      210     90
22     85     10     14     504     684     90
20     80     40     15     317     497     90
20     85     40     16     412     592     90
18     75     20     17     34      214     90
15     75     20     18     127     307     90
15     80     10     19     222     402     90
30     50     10     20     10      190     90
30     52     20     21     850     1030    90
28     52     20     22     758     938     90
28     55     10     23     665     845     90
25     50     10     24     15      195     90
25     52     40     25     107     287     90
25     55     10     26     572     752     90
23     52     10     27     199     379     90
23     55     20     28     480     660     90
20     50     10     29     292     472     90
20     55     10     30     387     567     90
10     35     20     31     129     309     90
10     40     30     32     31      211     90
8      40     40     33     33      213     90
8      45     20     34     694     874     90
5      35     10     35     224     404     90
5      45     10     36     601     781     90
2      40     20     37     319     499     90
0      40     30     38     411     591     90
0      45     20     39     506     686     90
35     30     10     40     203     383     90
35     32     10     41     111     291     90
33     32     20     42     19      199     90
33     35     10     43     16      196     90
32     30     10     44     296     476     90
30     30     10     45     481     661     90
30     32     30     46     389     569     90
30     35     10     47     947     1127    90
28     30     10     48     573     753     90
28     35     10     49     944     1124    90
26     32     10     50     758     938     90
25     30     10     51     666     846     90
25     35     10     52     851     1031    90
44     5      20     53     227     407     90
42     10     40     54     132     312     90
42     15     10     55     37      217     90
40     5      30     56     321     501     90
40     15     40     57     35      215     90
38     5      30     58     413     593     90
38     15     10     59     606     786     90
35     5      20     60     506     686     90
50     30     10     61     481     661     90
50     35     20     62     200     380     90
50     40     50     63     105     285     90
48     30     10     64     573     753     90
48     40     10     65     13      193     90
47     35     10     66     761     941     90
47     40     10     67     12      192     90
45     30     10     68     666     846     90
45     35     10     69     853     1033    90
95     30     30     70     332     512     90
95     35     20     71     237     417     90
53     30     10     72     388     568     90
92     30     10     73     425     605     90
53     35     50     74     293     473     90
45     65     20     75     943     1123    90
90     35     10     76     142     322     90
88     30     10     77     519     699     90
88     35     20     78     50      230     90
87     30     10     79     610     790     90
85     25     10     80     705     885     90
85     35     30     81     47      227     90
75     55     20     82     305     485     90
72     55     10     83     212     392     90
70     58     20     84     401     581     90
68     60     30     85     494     674     90
66     55     10     86     116     296     90
65     55     20     87     25      205     90
65     60     30     88     587     767     90
63     58     10     89     680     860     90
60     55     10     90     20      200     90
60     60     10     91     773     953     90
67     85     20     92     315     495     90
65     85     40     93     407     587     90
65     82     10     94     221     401     90
62     80     30     95     128     308     90
60     80     10     96     36      216     90
60     85     30     97     502     682     90
58     75     20     98     30      210     90
55     80     10     99     692     872     90
55     85     20     100    597     777     90
40     50     0      1               
