X      Y      NODES   DEPOTS   CAPACITY     TRAVEL TIME     
40    50     100     1        200          1236
X      Y      DEMAND NODE   EAR     LAT     SERVICE
45     68     10     1      830     1049    90
45     70     30     2      756     939     90
42     66     10     3      16      336     90
42     68     10     4      643     866     90
42     65     10     5      15      226     90
40     69     20     6      499     824     90
40     66     20     7      87      308     90
38     68     20     8      150     429     90
38     70     10     9      429     710     90
35     66     10     10     279     488     90
35     69     10     11     363     590     90
25     85     20     12     547     826     90
22     75     30     13     30      280     90
22     85     10     14     489     698     90
20     80     40     15     318     495     90
20     85     40     16     394     609     90
18     75     20     17     33      226     90
15     75     20     18     68      365     90
15     80     10     19     176     447     90
30     50     10     20     10      265     90
30     52     20     21     836     1043    90
28     52     20     22     704     991     90
28     55     10     23     664     845     90
25     50     10     24     15      333     90
25     52     40     25     88      305     90
25     55     10     26     502     821     90
23     52     10     27     179     398     90
23     55     20     28     476     663     90
20     50     10     29     288     475     90
20     55     10     30     368     585     90
10     35     20     31     144     293     90
10     40     30     32     31      309     90
8      40     40     33     33      313     90
8      45     20     34     655     912     90
5      35     10     35     191     436     90
5      45     10     36     588     793     90
2      40     20     37     305     512     90
0      40     30     38     414     587     90
0      45     20     39     481     710     90
35     30     10     40     180     405     90
35     32     10     41     63      338     90
33     32     20     42     19      345     90
33     35     10     43     16      273     90
32     30     10     44     278     493     90
30     30     10     45     453     688     90
30     32     30     46     355     602     90
30     35     10     47     837     1127    90
28     30     10     48     539     786     90
28     35     10     49     867     1126    90
26     32     10     50     719     976     90
25     30     10     51     635     876     90
25     35     10     52     825     1056    90
44     5      20     53     193     440     90
42     10     40     54     78      365     90
42     15     10     55     35      287     90
40     5      30     56     308     513     90
40     15     40     57     35      246     90
38     5      30     58     376     629     90
38     15     10     59     519     872     90
35     5      20     60     463     728     90
50     30     10     61     412     729     90
50     35     20     62     181     398     90
50     40     50     63     100     289     90
48     30     10     64     539     786     90
48     40     10     65     12      223     90
47     35     10     66     753     948     90
47     40     10     67     12      275     90
45     30     10     68     669     842     90
45     35     10     69     836     1049    90
95     30     30     70     284     559     90
95     35     20     71     194     459     90
53     30     10     72     367     588     90
92     30     10     73     370     659     90
53     35     50     74     263     502     90
45     65     20     75     847     1130    90
90     35     10     76     119     344     90
88     30     10     77     469     748     90
88     35     20     78     50      295     90
87     30     10     79     573     826     90
85     25     10     80     694     895     90
85     35     30     81     47      356     90
75     55     20     82     293     496     90
72     55     10     83     154     449     90
70     58     20     84     360     621     90
68     60     30     85     470     697     90
66     55     10     86     76      335     90
65     55     20     87     25      260     90
65     60     30     88     551     802     90
63     58     10     89     640     899     90
60     55     10     90     20      276     90
60     60     10     91     756     969     90
67     85     20     92     257     552     90
65     85     40     93     409     584     90
65     82     10     94     209     412     90
62     80     30     95     130     305     90
60     80     10     96     36      283     90
60     85     30     97     470     713     90
58     75     20     98     30      248     90
55     80     10     99     628     935     90
55     85     20     100    530     843     90
40     50     0      1               
