X      Y      NODES  DEPOTS CAPACITYTRAVEL TIME          
40     50     100    1      700           3390   
X      Y     DEMAND  NODE   EAR    LAT   SERVICE
52     75     10     1      71     711    90     
45     70     30     2      20     660    90     
62     69     10     3      927    1567   90     
60     66     10     4      1021   1661   90     
42     65     10     5      15     655    90     
16     42     20     6      257    897    90     
58     70     20     7      833    1473   90     
34     60     20     8      2647   3287   90     
28     70     10     9      2361   3001   90     
35     66     10     10     2551   3191   90     
35     69     10     11     2458   3098   90     
25     85     20     12     1879   2519   90     
22     75     30     13     2165   2805   90     
22     85     10     14     1786   2426   90     
20     80     40     15     1976   2616   90     
20     85     40     16     1694   2334   90     
18     75     20     17     2071   2711   90     
15     75     20     18     1502   2142   90     
15     80     10     19     1597   2237   90     
30     50     10     20     10     650    90     
30     56     20     21     2648   3288   90     
28     52     20     22     12     652    90     
14     66     10     23     1403   2043   90     
25     50     10     24     15     655    90     
22     66     40     25     2264   2904   90     
8      62     10     26     1305   1945   90     
23     52     10     27     17     657    90     
4      55     20     28     1207   1847   90     
20     50     10     29     158    798    90     
20     55     10     30     63     703    90     
10     35     20     31     541    1181   90     
10     40     30     32     353    993    90     
8      40     40     33     445    1085   90     
8      45     20     34     1106   1746   90     
5      35     10     35     636    1276   90     
5      45     10     36     1013   1653   90     
2      40     20     37     731    1371   90     
0      40     30     38     823    1463   90     
0      45     20     39     918    1558   90     
36     18     10     40     1579   2219   90     
35     32     10     41     2518   3158   90     
33     32     20     42     2426   3066   90     
33     35     10     43     2333   2973   90     
32     20     10     44     1673   2313   90     
30     30     10     45     1865   2505   90     
34     25     30     46     1769   2409   90     
30     35     10     47     2240   2880   90     
36     40     10     48     2616   3256   90     
48     20     10     49     727    1367   90     
26     32     10     50     2052   2692   90     
25     30     10     51     1960   2600   90     
25     35     10     52     2145   2785   90     
44     5      20     53     1016   1656   90     
42     10     40     54     920    1560   90     
42     15     10     55     825    1465   90     
40     5      30     56     1110   1750   90     
38     15     40     57     1485   2125   90     
38     5      30     58     1202   1842   90     
38     10     10     59     1390   2030   90     
35     5      20     60     1295   1935   90     
50     30     10     61     161    801    90     
50     35     20     62     18     658    90     
50     40     50     63     14     654    90     
48     30     10     64     253    893    90     
44     25     10     65     631    1271   90     
47     35     10     66     348    988    90     
47     40     10     67     12     652    90     
42     30     10     68     536    1176   90     
45     35     10     69     440    1080   90     
95     30     30     70     2081   2721   90     
95     35     20     71     1986   2626   90     
53     30     10     72     68     708    90     
92     30     10     73     2174   2814   90     
53     35     50     74     19     659    90     
45     65     20     75     15     655    90     
90     35     10     76     1891   2531   90     
72     45     10     77     2627   3267   90     
78     40     20     78     2562   3202   90     
87     30     10     79     2368   3008   90     
85     25     10     80     2273   2913   90     
85     35     30     81     2463   3103   90     
75     55     20     82     1685   2325   90     
72     55     10     83     1592   2232   90     
70     58     20     84     1401   2041   90     
86     46     30     85     1789   2429   90     
66     55     10     86     1496   2136   90     
64     46     20     87     2635   3275   90     
65     60     30     88     1306   1946   90     
56     64     10     89     1115   1755   90     
60     55     10     90     2639   3279   90     
60     60     10     91     1211   1851   90     
67     85     20     92     454    1094   90     
42     58     40     93     8      648    90     
65     82     10     94     548    1188   90     
62     80     30     95     641    1281   90     
62     40     10     96     2635   3275   90     
60     85     30     97     357    997    90     
58     75     20     98     738    1378   90     
55     80     10     99     167    807    90     
55     85     20     100    262    902    90     
40     50     0      1                           
