X        Y        NODES    DEPOTS   CAPACITY   TRAVEL TIME              
70       80       417        1        2000         1440     
X        Y        DEMAND   NODE     EAR      LAT      SER      
348      866      250      1        300      1320     60       
348      877      150      2        300      540      60       
337      858      300      3        300      1320     60       
324      870      224      4        300      540      60       
332      876      210      5        300      1320     60       
338      873      250      6        300      1320     60       
305      879      220      7        300      1320     60       
342      868      300      8        300      540      60       
318      866      180      9        300      1320     60       
330      859      190      10       300      540      60       
319      852      160      11       720      1080     60       
335      865      270      12       300      1320     60       
340      861      210      13       720      1080     60       
338      871      255      14       300      1320     60       
335      868      228      15       240      300      60       
334      866      220      16       720      1080     60       
310      873      165      17       300      1320     60       
344      857      215      18       300      540      60       
313      863      155      19       300      1320     60       
336      868      200      20       300      540      60       
344      869      210      21       300      1320     60       
343      865      220      22       240      300      60       
348      870      280      23       720      1080     60       
314      869      190      24       720      1080     60       
335      868      240      25       240      300      60       
331      854      265      26       300      1320     60       
342      862      230      27       300      540      60       
345      859      255      28       300      1320     60       
332      875      225      29       300      1320     60       
340      860      170      30       300      540      60       
348      870      165      31       300      1320     60       
347      877      200      32       300      540      60       
346      870      175      33       300      1320     60       
328      866      190      34       720      1080     60       
304      873      160      35       300      1320     60       
304      872      220      36       300      1320     60       
345      853      180      37       300      1320     60       
347      854      240      38       300      1320     60       
348      850      133      39       300      1320     60       
342      887      215      40       300      1320     60       
312      854      200      41       300      1320     60       
325      850      250      42       300      1320     60       
347      866      300      43       960      1080     60       
348      877      180      44       720      1080     60       
347      866      320      45       300      1320     60       
347      866      250      46       300      540      60       
347      866      250      47       240      300      60       
347      866      230      48       300      1320     60       
347      866      410      49       300      1320     60       
348      877      205      50       300      540      60       
337      858      340      51       300      1320     60       
332      875      325      52       960      1080     60       
323      863      215      53       300      1320     60       
324      863      195      54       300      1320     60       
348      877      275      55       300      540      60       
326      855      280      56       300      1320     60       
332      875      330      57       300      1320     60       
318      859      250      58       300      1320     60       
314      857      345      59       300      1320     60       
325      865      315      60       300      540      60       
324      863      330      61       300      540      60       
324      863      350      62       720      1080     60       
324      863      300      63       720      1080     60       
343      862      340      64       720      1080     60       
313      858      327      65       720      1080     60       
312      854      295      66       960      1080     60       
328      852      350      67       300      540      60       
307      882      290      68       960      1080     60       
307      881      245      69       300      540      60       
306      882      290      70       300      1320     60       
338      858      245      71       720      1080     60       
309      878      271      72       720      1080     60       
313      865      175      73       960      1080     60       
345      877      290      74       240      300      60       
311      871      280      75       300      1320     60       
304      877      255      76       240      300      60       
334      861      250      77       300      1320     60       
313      857      360      78       720      1080     60       
325      862      270      79       960      1080     60       
343      863      215      80       300      1320     60       
337      868      300      81       300      1320     60       
347      867      290      82       300      1320     60       
325      878      195      83       960      1080     60       
333      864      331      84       300      540      60       
334      870      250      85       960      1080     60       
335      869      315      86       720      1080     60       
324      863      380      87       300      1320     60       
336      866      355      88       300      1320     60       
315      879      345      89       960      1080     60       
332      868      280      90       300      1320     60       
346      870      335      91       300      1320     60       
325      859      330      92       300      1320     60       
329      871      282      93       300      540      60       
319      877      310      94       300      1320     60       
307      879      215      95       720      1080     60       
337      878      330      96       720      1080     60       
341      880      290      97       300      1320     60       
334      866      300      98       300      1320     60       
334      869      295      99       960      1080     60       
337      867      259      100      300      1320     60       
335      868      360      101      300      540      60       
308      881      260      102      300      1320     60       
347      870      268      103      720      1080     60       
310      875      285      104      300      1320     60       
346      870      380      105      300      1320     60       
314      861      220      106      300      1320     60       
326      855      226      107      300      1320     60       
336      868      290      108      300      1320     60       
347      860      330      109      300      1320     60       
338      858      175      110      300      540      60       
304      883      330      111      300      1320     60       
306      882      237      112      300      1320     60       
342      876      445      113      300      540      60       
307      881      245      114      300      1320     60       
324      863      350      115      300      1320     60       
340      860      265      116      300      1320     60       
310      859      305      117      300      1320     60       
332      863      220      118      300      1320     60       
336      868      331      119      720      1080     60       
316      852      257      120      720      1080     60       
336      864      360      121      960      1080     60       
339      864      380      122      240      300      60       
313      854      360      123      240      300      60       
342      857      277      124      300      1320     60       
