X        Y        NODES    DEPOTS   CAPACITY  TRAVEL TIME              
46.77    47.65    249        1        100         2000     
X        Y        DEMAND   NODE     EAR      LAT      SER      
63.67    30.96    1        1        0        900      6        
0        67.95    1        2        0        900      6        
14.04    46.1     1        3        180      900      5        
14.07    46.2     1        4        120      900      5        
14.07    46.2     1        5        60       900      4        
14.07    46.2     1        6        120      900      4        
14.07    46.2     1        7        60       900      5        
14.07    46.2     1        8        120      900      5        
14.07    46.2     1        9        120      900      5        
14.07    46.2     1        10       60       900      4        
14.07    46.2     1        11       0        900      5        
14.07    46.2     1        12       120      900      4        
14.07    46.2     1        13       120      900      10       
14.07    46.2     1        14       0        900      7        
14.07    47.1     1        15       0        900      14       
14.17    46.93    1        16       120      900      4        
1.42     73.44    1        17       480      900      5        
14.64    46.67    1        18       120      900      5        
14.72    46.74    1        19       60       900      5        
15.42    50.57    1        20       120      900      6        
23.1     41.53    1        21       0        900      5        
23.14    41.03    1        22       120      900      6        
23.14    41.03    1        23       120      900      6        
23.14    41.03    1        24       120      900      11       
0.33     67.91    1        25       60       900      4        
4        56.48    1        26       600      900      5        
4.03     55.17    1        27       0        900      10       
0.41     67.82    1        28       120      900      4        
4.17     56.79    1        29       240      900      4        
44.41    62.66    1        30       420      720      7        
46.47    60.56    1        31       420      720      6        
6.78     61.33    1        32       180      900      6        
8.68     62.4     1        33       180      900      4        
47.92    52.38    1        34       60       900      7        
47.94    54.39    1        35       0        900      11       
48.66    53.13    1        36       60       900      7        
48.82    54.86    1        37       120      420      7        
49.07    50.57    1        38       240      660      5        
49.28    57.35    1        39       0        900      5        
49.31    57.4     1        40       120      900      5        
49.47    53.76    1        41       60       900      5        
49.52    51.52    1        42       420      720      8        
49.54    51.54    1        43       60       300      16       
49.54    51.54    1        44       120      900      8        
49.6     53.71    1        45       120      900      5        
49.73    51.82    1        46       180      900      4        
49.76    57.96    1        47       120      900      4        
49.77    51.47    1        48       30       900      5        
49.78    51.64    1        49       0        900      6        
49.8     55.33    1        50       180      540      14       
49.81    58.03    1        51       120      900      5        
49.92    50.33    1        52       60       900      5        
49.97    55.41    1        53       180      900      6        
49.98    50.3     1        54       120      900      6        
50.34    50.84    1        55       180      900      7        
50.43    50.97    1        56       240      900      5        
50.68    54.66    1        57       60       900      6        
50.91    54.58    1        58       120      900      5        
50.94    50.34    1        59       180      900      5        
50.96    51.15    1        60       0        900      5        
50.96    51.15    1        61       120      540      5        
50.96    51.15    1        62       120      540      6        
50.97    50.46    1        63       120      900      5        
50.98    59.26    1        64       18       900      6        
51.1     54.94    1        65       60       900      5        
51.14    50.08    1        66       240      900      4        
51.23    56       1        67       420      720      7        
51.34    53.29    1        68       180      540      6        
51.62    56.19    1        69       60       420      15       
51.77    51.46    1        70       300      900      8        
52.06    60.22    1        71       180      390      6        
52.32    56.53    1        72       60       900      7        
53.15    44.87    1        73       120      900      13       
53.21    50.04    1        74       120      900      5        
53.43    57.06    1        75       120      540      7        
53.91    57.35    1        76       120      900      5        
54.04    57.42    1        77       180      900      5        
54.26    50.91    1        78       240      900      6        
54.45    45.91    1        79       180      900      4        
54.57    57.81    1        80       120      900      4        
54.61    50.7     1        81       120      900      8        
54.92    50.33    1        82       0        900      4        
55.23    50.72    1        83       120      900      19       
55.37    50.73    1        84       120      540      8        
56.53    46.54    1        85       60       900      7        
56.63    46.69    1        86       300      900      4        
56.69    46.18    1        87       180      185      10       
56.69    46.18    1        88       180      900      5        
56.71    50.86    1        89       180      240      4        
