X        Y        NODES    DEPOTS   CAPACITY   TRAVEL TIME              
35       35       100      1        200          230               
X        Y       DEMAND   NODE      EAR      LAT     SERVICE  
41       49       10       1        151      181      10       
35       17       7        2        40       70       10       
55       45       13       3        106      136      10       
55       20       19       4        139      169      10       
15       30       26       5        24       54       10       
25       30       3        6        89       119      10       
20       50       5        7        71       101      10       
10       43       9        8        85       115      10       
55       60       16       9        87       117      10       
30       60       16       10       114      144      10       
20       65       12       11       57       87       10       
50       35       19       12       53       83       10       
30       25       23       13       149      179      10       
15       10       20       14       32       62       10       
30       5        8        15       51       81       10       
10       20       19       16       65       95       10       
5        30       2        17       147      177      10       
20       40       12       18       77       107      10       
15       60       17       19       66       96       10       
45       65       9        20       116      146      10       
45       20       11       21       52       82       10       
45       10       18       22       87       117      10       
55       5        29       23       58       88       10       
65       35       3        24       143      173      10       
65       20       6        25       156      186      10       
45       30       17       26       122      152      10       
35       40       16       27       27       57       10       
41       37       16       28       29       59       10       
64       42       9        29       53       83       10       
40       60       21       30       61       91       10       
31       52       27       31       40       70       10       
35       69       23       32       131      161      10       
53       52       11       33       27       57       10       
65       55       14       34       107      137      10       
63       65       8        35       133      163      10       
2        60       5        36       41       71       10       
20       20       8        37       124      154      10       
5        5        16       38       73       103      10       
60       12       31       39       34       64       10       
40       25       9        40       75       105      10       
42       7        5        41       87       117      10       
24       12       5        42       25       55       10       
23       3        7        43       122      152      10       
11       14       18       44       59       89       10       
6        38       16       45       29       59       10       
2        48       1        46       107      137      10       
8        56       27       47       41       71       10       
13       52       36       48       155      185      10       
6        68       30       49       98       128      10       
47       47       13       50       114      144      10       
49       58       10       51       78       108      10       
27       43       9        52       42       72       10       
37       31       14       53       85       115      10       
57       29       18       54       130      160      10       
63       23       2        55       126      156      10       
53       12       6        56       120      150      10       
32       12       7        57       91       121      10       
36       26       18       58       180      210      10       
21       24       28       59       17       47       10       
17       34       3        60       152      182      10       
12       24       13       61       66       96       10       
24       58       19       62       48       78       10       
27       69       10       63       34       64       10       
15       77       9        64       63       93       10       
62       77       20       65       49       79       10       
49       73       25       66       117      147      10       
67       5        25       67       73       103      10       
56       39       36       68       132      162      10       
37       47       6        69       40       70       10       
37       56       5        70       168      198      10       
57       68       15       71       67       97       10       
47       16       25       72       25       55       10       
44       17       9        73       68       98       10       
46       13       8        74       139      169      10       
49       11       18       75       59       89       10       
49       42       13       76       63       93       10       
53       43       14       77       169      199      10       
61       52       3        78       86       116      10       
57       48       23       79       82       112      10       
56       37       6        80       168      198      10       
55       54       26       81       84       114      10       
15       47       16       82       45       75       10       
14       37       11       83       34       64       10       
11       31       7        84       91       121      10       
16       22       41       85       81       111      10       
4        18       35       86       84       114      10       
28       18       26       87       83       113      10       
26       52       9        88       64       94       10       
26       35       15       89       166      196      10       
31       67       3        90       85       115      10       
15       19       1        91       150      180      10       
22       22       2        92       18       48       10       
18       24       22       93       169      199      10       
26       27       27       94       90       120      10       
25       24       20       95       29       59       10       
22       27       11       96       125      155      10       
25       21       12       97       123      153      10       
19       21       10       98       48       78       10       
20       26       9        99       73       103      10       
18       18       17       100      165      195      10       
35       35       0        1                                   
