X        Y        NODES    DEPOTS   CAPACITY    TRAVEL TIME    
35       35       100      1        200             230               
X        Y       DEMAND   NODE      EAR      LAT    SERVICE  
41       49       10       1        133      198      10       
35       17       7        2        22       87       10       
55       45       13       3        98       143      10       
55       20       19       4        123      184      10       
15       30       26       5        20       93       10       
25       30       3        6        76       131      10       
20       50       5        7        61       110      10       
10       43       9        8        75       124      10       
55       60       16       9        74       129      10       
30       60       16       10       107      150      10       
20       65       12       11       42       101      10       
50       35       19       12       38       97       10       
30       25       23       13       131      196      10       
15       10       20       14       32       114      10       
30       5        8        15       35       96       10       
10       20       19       16       52       107      10       
5        30       2        17       124      189      10       
20       40       12       18       69       114      10       
15       60       17       19       52       109      10       
45       65       9        20       105      156      10       
45       20       11       21       37       96       10       
45       10       18       22       76       127      10       
55       5        29       23       43       102      10       
65       35       3        24       124      190      10       
65       20       6        25       121      186      10       
45       30       17       26       112      161      10       
35       40       16       27       8        75       10       
41       37       16       28       11       76       10       
64       42       9        29       37       98       10       
40       60       21       30       49       102      10       
31       52       27       31       24       85       10       
35       69       23       32       116      175      10       
53       52       11       33       24       92       10       
65       55       14       34       96       147      10       
63       65       8        35       116      178      10       
2        60       5        36       41       112      10       
20       20       8        37       113      164      10       
5        5        16       38       60       115      10       
60       12       31       39       33       110      10       
40       25       9        40       65       114      10       
42       7        5        41       72       131      10       
24       12       5        42       25       91       10       
23       3        7        43       111      162      10       
11       14       18       44       45       102      10       
6        38       16       45       29       99       10       
2        48       1        46       92       151      10       
8        56       27       47       34       105      10       
13       52       36       48       128      192      10       
6        68       30       49       93       132      10       
47       47       13       50       102      155      10       
49       58       10       51       64       121      10       
27       43       9        52       26       87       10       
37       31       14       53       75       124      10       
57       29       18       54       118      171      10       
63       23       2        55       111      170      10       
53       12       6        56       106      163      10       
32       12       7        57       77       134      10       
36       26       18       58       147      210      10       
21       24       28       59       17       100      10       
17       34       3        60       134      199      10       
12       24       13       61       55       106      10       
24       58       19       62       30       95       10       
27       69       10       63       34       103      10       
15       77       9        64       48       107      10       
62       77       20       65       49       113      10       
49       73       25       66       104      159      10       
67       5        25       67       59       116      10       
56       39       36       68       117      176      10       
37       47       6        69       23       86       10       
37       56       5        70       123      198      10       
57       68       15       71       54       109      10       
47       16       25       72       22       96       10       
44       17       9        73       56       109      10       
46       13       8        74       123      184      10       
49       11       18       75       45       102      10       
49       42       13       76       52       103      10       
53       43       14       77       136      200      10       
61       52       3        78       71       130      10       
57       48       23       79       72       121      10       
56       37       6        80       135      198      10       
55       54       26       81       78       119      10       
15       47       16       82       29       90       10       
14       37       11       83       21       89       10       
11       31       7        84       81       130      10       
16       22       41       85       70       121      10       
4        18       35       86       74       123      10       
28       18       26       87       79       116      10       
26       52       9        88       50       107      10       
26       35       15       89       139      211      10       
31       67       3        90       73       126      10       
15       19       1        91       132      194      10       
22       22       2        92       18       88       10       
18       24       22       93       129      199      10       
26       27       27       94       81       128      10       
25       24       20       95       14       78       10       
22       27       11       96       114      165      10       
25       21       12       97       115      160      10       
19       21       10       98       32       93       10       
20       26       9        99       60       115      10       
18       18       17       100      123      195      10       
35       35       0        1                                   
