X        Y        NODES    DEPOTS   CAPACITY    TRAVEL TIME      
35       35       100      1        200      230               
X        Y      DEMAND   NODE       EAR      LAT     SERVICE  
41       49       10       1        73       204      10       
35       17       7        2        18       147      10       
55       45       13       3        76       165      10       
55       20       19       4        73       195      10       
15       30       26       5        20       167      10       
25       30       3        6        49       158      10       
20       50       5        7        36       135      10       
10       43       9        8        50       149      10       
55       60       16       9        47       156      10       
30       60       16       10       85       172      10       
20       65       12       11       33       152      10       
50       35       19       12       15       133      10       
30       25       23       13       79       208      10       
15       10       20       14       32       187      10       
30       5        8        15       30       152      10       
10       20       19       16       29       139      10       
5        30       2        17       60       189      10       
20       40       12       18       47       136      10       
15       60       17       19       32       146      10       
45       65       9        20       79       182      10       
45       20       11       21       18       136      10       
45       10       18       22       50       153      10       
55       5        29       23       36       155      10       
65       35       3        24       58       190      10       
65       20       6        25       56       186      10       
45       30       17       26       87       186      10       
35       40       16       27       5        140      10       
41       37       16       28       6        136      10       
64       42       9        29       29       150      10       
40       60       21       30       25       132      10       
31       52       27       31       17       138      10       
35       69       23       32       67       186      10       
53       52       11       33       24       161      10       
65       55       14       34       70       173      10       
63       65       8        35       54       178      10       
2        60       5        36       41       178      10       
20       20       8        37       87       190      10       
5        5        16       38       42       153      10       
60       12       31       39       33       186      10       
40       25       9        40       40       139      10       
42       7        5        41       43       160      10       
24       12       5        42       25       158      10       
23       3        7        43       82       185      10       
11       14       18       44       31       144      10       
6        38       16       45       29       169      10       
2        48       1        46       63       180      10       
8        56       27       47       34       176      10       
13       52       36       48       65       192      10       
6        68       30       49       73       152      10       
47       47       13       50       75       182      10       
49       58       10       51       36       149      10       
27       43       9        52       11       133      10       
37       31       14       53       51       148      10       
57       29       18       54       90       197      10       
63       23       2        55       69       189      10       
53       12       6        56       76       190      10       
32       12       7        57       48       163      10       
36       26       18       58       84       210      10       
21       24       28       59       17       183      10       
17       34       3        60       70       201      10       
12       24       13       61       29       132      10       
24       58       19       62       25       154      10       
27       69       10       63       34       172      10       
15       77       9        64       46       165      10       
62       77       20       65       49       170      10       
49       73       25       66       68       179      10       
67       5        25       67       43       156      10       
56       39       36       68       80       198      10       
37       47       6        69       12       137      10       
37       56       5        70       48       198      10       
57       68       15       71       39       148      10       
47       16       25       72       22       170      10       
44       17       9        73       30       135      10       
46       13       8        74       74       195      10       
49       11       18       75       27       141      10       
49       42       13       76       27       128      10       
53       43       14       77       72       200      10       
61       52       3        78       42       159      10       
57       48       23       79       47       146      10       
56       37       6        80       73       198      10       
55       54       26       81       57       140      10       
15       47       16       82       23       146      10       
14       37       11       83       21       157      10       
11       31       7        84       57       154      10       
16       22       41       85       44       147      10       
4        18       35       86       49       148      10       
28       18       26       87       61       134      10       
26       52       9        88       21       136      10       
26       35       15       89       68       211      10       
31       67       3        90       46       153      10       
15       19       1        91       70       194      10       
22       22       2        92       18       159      10       
18       24       22       93       60       199      10       
26       27       27       94       58       151      10       
25       24       20       95       14       143      10       
22       27       11       96       89       190      10       
25       21       12       97       92       183      10       
19       21       10       98       21       142      10       
20       26       9        99       33       142      10       
18       18       17       100      51       195      10       
35       35       0        1                                   
