X        Y        NODES    DEPOTS   CAPACITY  TRAVEL TIME        
35       35       100        1         1000       1000     
X        Y       DEMAND   NODE      EAR      EAT     SERVICE  
41       49       10       1        636      919      10       
35       17       7        2        74       351      10       
55       45       13       3        498      613      10       
55       20       19       4        470      965      10       
15       30       26       5        20       370      10       
25       30       3        6        266      663      10       
20       50       5        7        292      449      10       
10       43       9        8        288      597      10       
55       60       16       9        254      643      10       
30       60       16       10       496      713      10       
20       65       12       11       33       510      10       
50       35       19       12       170      403      10       
30       25       23       13       426      978      10       
15       10       20       14       32       454      10       
30       5        8        15       30       529      10       
10       20       19       16       222      423      10       
5        30       2        17       409      959      10       
20       40       12       18       349      462      10       
15       60       17       19       215      432      10       
45       65       9        20       538      709      10       
45       20       11       21       156      389      10       
45       10       18       22       280      623      10       
55       5        29       23       36       513      10       
65       35       3        24       633      918      10       
65       20       6        25       400      956      10       
45       30       17       26       548      707      10       
35       40       16       27       5        612      10       
41       37       16       28       44       325      10       
64       42       9        29       129      374      10       
40       60       21       30       115      498      10       
31       52       27       31       91       336      10       
35       69       23       32       602      835      10       
53       52       11       33       24       646      10       
65       55       14       34       487      656      10       
63       65       8        35       439      948      10       
2        60       5        36       41       710      10       
20       20       8        37       563      736      10       
5        5        16       38       147      560      10       
60       12       31       39       33       797      10       
40       25       9        40       243      554      10       
42       7        5        41       225      682      10       
24       12       5        42       25       616      10       
23       3        7        43       578      747      10       
11       14       18       44       72       501      10       
6        38       16       45       29       669      10       
2        48       1        46       458      685      10       
8        56       27       47       34       362      10       
13       52       36       48       694      962      10       
6        68       30       49       444      597      10       
47       47       13       50       499      690      10       
49       58       10       51       296      505      10       
27       43       9        52       111      362      10       
37       31       14       53       301      602      10       
57       29       18       54       595      780      10       
63       23       2        55       442      917      10       
53       12       6        56       426      851      10       
32       12       7        57       366      585      10       
36       26       18       58       458      980      10       
21       24       28       59       17       441      10       
17       34       3        60       651      932      10       
12       24       13       61       246      421      10       
24       58       19       62       25       583      10       
27       69       10       63       34       348      10       
15       77       9        64       46       523      10       
62       77       20       65       49       608      10       
49       73       25       66       440      845      10       
67       5        25       67       132      563      10       
56       39       36       68       464      925      10       
37       47       6        69       12       535      10       
37       56       5        70       249      968      10       
57       68       15       71       218      417      10       
47       16       25       72       22       377      10       
44       17       9        73       263      444      10       
46       13       8        74       479      965      10       
49       11       18       75       182      399      10       
49       42       13       76       166      497      10       
53       43       14       77       430      970      10       
61       52       3        78       212      671      10       
57       48       23       79       273      580      10       
56       37       6        80       452      968      10       
55       54       26       81       388      479      10       
15       47       16       82       99       352      10       
14       37       11       83       21       328      10       
11       31       7        84       323      624      10       
16       22       41       85       333      504      10       
4        18       35       86       350      503      10       
28       18       26       87       380      487      10       
26       52       9        88       114      553      10       
26       35       15       89       649      981      10       
31       67       3        90       345      534      10       
15       19       1        91       675      930      10       
22       22       2        92       18       673      10       
18       24       22       93       339      969      10       
26       27       27       94       403      536      10       
25       24       20       95       22       301      10       
22       27       11       96       565      732      10       
25       21       12       97       582      703      10       
19       21       10       98       122      367      10       
20       26       9        99       185      580      10       
18       18       17       100      297      965      10       
35       35       0        1                                   
