X        Y        NODES    DEPOTS   CAPACITY   TRAVEL TIME              
35       35       100       1         1000        1000     
X        Y       DEMAND   NODE      EAR      LAT     SERVICE  
41       49       10       1        190      974      10       
35       17       7        2        18       792      10       
55       45       13       3        289      822      10       
55       20       19       4        679      800      10       
15       30       26       5        20       906      10       
25       30       3        6        355      574      10       
20       50       5        7        72       669      10       
10       43       9        8        393      492      10       
55       60       16       9        394      503      10       
30       60       16       10       517      692      10       
20       65       12       11       206      325      10       
50       35       19       12       15       725      10       
30       25       23       13       694      823      10       
15       10       20       14       32       694      10       
30       5        8        15       176      299      10       
10       20       19       16       102      543      10       
5        30       2        17       673      930      10       
20       40       12       18       229      582      10       
15       60       17       19       95       552      10       
45       65       9        20       418      829      10       
45       20       11       21       18       727      10       
45       10       18       22       349      554      10       
55       5        29       23       206      325      10       
65       35       3        24       435      960      10       
65       20       6        25       826      956      10       
45       30       17       26       328      927      10       
35       40       16       27       44       315      10       
41       37       16       28       6        526      10       
64       42       9        29       29       513      10       
40       60       21       30       199      414      10       
31       52       27       31       17       744      10       
35       69       23       32       482      955      10       
53       52       11       33       24       299      10       
65       55       14       34       265      878      10       
63       65       8        35       626      873      10       
2        60       5        36       41       328      10       
20       20       8        37       339      960      10       
5        5        16       38       298      409      10       
60       12       31       39       33       344      10       
40       25       9        40       300      497      10       
42       7        5        41       336      571      10       
24       12       5        42       25       292      10       
23       3        7        43       458      867      10       
11       14       18       44       230      343      10       
6        38       16       45       29       309      10       
2        48       1        46       338      805      10       
8        56       27       47       34       602      10       
13       52       36       48       200      962      10       
6        68       30       49       441      600      10       
47       47       13       50       272      917      10       
49       58       10       51       176      625      10       
27       43       9        52       11       748      10       
37       31       14       53       403      500      10       
57       29       18       54       475      900      10       
63       23       2        55       620      739      10       
53       12       6        56       525      752      10       
32       12       7        57       246      705      10       
36       26       18       58       854      980      10       
21       24       28       59       17       972      10       
17       34       3        60       449      971      10       
12       24       13       61       126      541      10       
24       58       19       62       168      297      10       
27       69       10       63       34       588      10       
15       77       9        64       154      393      10       
62       77       20       65       49       308      10       
49       73       25       66       532      753      10       
67       5        25       67       291      404      10       
56       39       36       68       577      812      10       
37       47       6        69       165      290      10       
37       56       5        70       668      968      10       
57       68       15       71       98       537      10       
47       16       25       72       22       915      10       
44       17       9        73       143      564      10       
46       13       8        74       681      802      10       
49       11       18       75       27       711      10       
49       42       13       76       281      382      10       
53       43       14       77       821      948      10       
61       52       3        78       324      559      10       
57       48       23       79       377      476      10       
56       37       6        80       719      968      10       
55       54       26       81       268      599      10       
15       47       16       82       23       761      10       
14       37       11       83       21       842      10       
11       31       7        84       425      522      10       
16       22       41       85       110      727      10       
4        18       35       86       230      623      10       
28       18       26       87       397      470      10       
26       52       9        88       219      448      10       
26       35       15       89       409      981      10       
31       67       3        90       225      654      10       
15       19       1        91       222      964      10       
22       22       2        92       18       159      10       
18       24       22       93       691      969      10       
26       27       27       94       190      749      10       
25       24       20       95       14       793      10       
22       27       11       96       344      953      10       
25       21       12       97       462      823      10       
19       21       10       98       21       748      10       
20       26       9        99       328      437      10       
18       18       17       100      821      965      10       
35       35       0        1                                   
