X        Y        NODES    DEPOTS   CAPACITY TRAVEL TIME              
40       50       100        1         200       240      
X        Y       DEMAND   NODE      EAR      LAT     SERVICE  
25       85       20       1        71       191      10       
22       75       30       2        30       150      10       
22       85       10       3        64       184      10       
20       80       40       4        151      161      10       
20       85       20       5        40       160      10       
18       75       20       6        96       123      10       
15       75       20       7        35       155      10       
15       80       10       8        101      111      10       
10       35       20       9        101      111      10       
10       40       30       10       123      144      10       
8        40       40       11       69       79       10       
8        45       20       12       32       152      10       
5        35       10       13       152      162      10       
5        45       10       14       35       117      10       
2        40       20       15       68       78       10       
0        40       20       16       59       114      10       
0        45       20       17       147      180      10       
44       5        20       18       79       124      10       
42       10       40       19       58       115      10       
42       15       10       20       111      162      10       
40       5        10       21       45       165      10       
40       15       40       22       94       119      10       
38       5        30       23       75       85       10       
38       15       10       24       128      194      10       
35       5        20       25       171      181      10       
95       30       30       26       58       171      10       
95       35       20       27       60       93       10       
92       30       10       28       55       120      10       
90       35       10       29       52       112      10       
88       30       10       30       75       102      10       
88       35       20       31       50       170      10       
87       30       10       32       116      175      10       
85       25       10       33       51       85       10       
85       35       30       34       62       182      10       
67       85       20       35       138      169      10       
65       85       40       36       43       78       10       
65       82       10       37       69       189      10       
62       80       30       38       85       95       10       
60       80       10       39       36       74       10       
60       85       30       40       87       112      10       
58       75       20       41       92       121      10       
55       80       10       42       33       66       10       
55       85       20       43       117      168      10       
55       82       10       44       74       84       10       
20       82       10       45       37       72       10       
18       80       10       46       98       157      10       
2        45       10       47       38       109      10       
42       5        10       48       64       184      10       
42       12       10       49       109      128      10       
72       35       30       50       71       191      10       
55       20       19       51       69       126      10       
25       30       3        52       25       145      10       
20       50       5        53       101      111      10       
55       60       16       54       127      180      10       
30       60       16       55       150      160      10       
50       35       19       56       130      159      10       
30       25       23       57       82       139      10       
15       10       20       58       172      182      10       
10       20       19       59       42       162      10       
15       60       17       60       137      202      10       
45       65       9        61       55       106      10       
65       35       3        62       62       72       10       
65       20       6        63       39       108      10       
45       30       17       64       53       82       10       
35       40       16       65       11       43       10       
41       37       16       66       134      161      10       
64       42       9        67       80       90       10       
40       60       21       68       144      173      10       
31       52       27       69       51       61       10       
35       69       23       70       172      210      10       
65       55       14       71       52       107      10       
63       65       8        72       27       147      10       
2        60       5        73       65       118      10       
20       20       8        74       151      161      10       
5        5        16       75       57       172      10       
60       12       31       76       85       95       10       
23       3        7        77       163      173      10       
8        56       27       78       90       119      10       
6        68       30       79       99       109      10       
47       47       13       80       190      222      10       
49       58       10       81       80       121      10       
27       43       9        82       14       134      10       
37       31       14       83       19       139      10       
57       29       18       84       106      116      10       
63       23       2        85       42       162      10       
21       24       28       86       77       126      10       
12       24       13       87       100      110      10       
24       58       19       88       67       96       10       
67       5        25       89       105      177      10       
37       47       6        90       74       127      10       
49       42       13       91       97       217      10       
53       43       14       92       15       25       10       
61       52       3        93       173      208      10       
57       48       23       94       50       170      10       
56       37       6        95       20       140      10       
55       54       26       96       87       207      10       
4        18       35       97       112      157      10       
26       52       9        98       14       134      10       
26       35       15       99       87       97       10       
31       67       3        100      200      210      10       
40       50       0        1                                   
