X        Y        NODES    DEPOTS   CAPACITY   TRAVEL TIME              
40       50       100        1         200         240      
X        Y       DEMAND   NODE      EAR      LAT    SERVICE  
25       85       20       1        130      190      10       
22       75       30       2        35       95       10       
22       85       10       3        94       154      10       
20       80       40       4        126      186      10       
20       85       20       5        40       100      10       
18       75       20       6        80       140      10       
15       75       20       7        64       124      10       
15       80       10       8        76       136      10       
10       35       20       9        76       136      10       
10       40       30       10       104      164      10       
8        40       40       11       44       104      10       
8        45       20       12       49       109      10       
5        35       10       13       127      187      10       
5        45       10       14       35       95       10       
2        40       20       15       43       103      10       
0        40       20       16       57       117      10       
0        45       20       17       129      189      10       
44       5        20       18       72       132      10       
42       10       40       19       57       117      10       
42       15       10       20       107      167      10       
40       5        10       21       52       112      10       
40       15       40       22       77       137      10       
38       5        30       23       50       110      10       
38       15       10       24       133      193      10       
35       5        20       25       124      184      10       
95       30       30       26       100      160      10       
95       35       20       27       57       117      10       
92       30       10       28       55       115      10       
90       35       10       29       52       112      10       
88       30       10       30       59       119      10       
88       35       20       31       50       110      10       
87       30       10       32       116      176      10       
85       25       10       33       51       111      10       
85       35       30       34       96       156      10       
67       85       20       35       124      184      10       
65       85       40       36       43       103      10       
65       82       10       37       109      169      10       
62       80       30       38       60       120      10       
60       80       10       39       36       96       10       
60       85       30       40       70       130      10       
58       75       20       41       77       137      10       
55       80       10       42       33       93       10       
55       85       20       43       113      173      10       
55       82       10       44       49       109      10       
20       82       10       45       37       97       10       
18       80       10       46       98       158      10       
2        45       10       47       38       98       10       
42       5        10       48       124      184      10       
42       12       10       49       89       149      10       
72       35       30       50       101      161      10       
55       20       19       51       68       128      10       
25       30       3        52       37       97       10       
20       50       5        53       76       136      10       
55       60       16       54       124      184      10       
30       60       16       55       125      185      10       
50       35       19       56       115      175      10       
30       25       23       57       81       141      10       
15       10       20       58       122      182      10       
10       20       19       59       42       102      10       
15       60       17       60       140      200      10       
45       65       9        61       51       111      10       
65       35       3        62       37       97       10       
65       20       6        63       39       99       10       
45       30       17       64       38       98       10       
35       40       16       65       11       71       10       
41       37       16       66       118      178      10       
64       42       9        67       55       115      10       
40       60       21       68       129      189      10       
31       52       27       69       26       86       10       
35       69       23       70       150      210      10       
65       55       14       71       50       110      10       
63       65       8        72       27       87       10       
2        60       5        73       62       122      10       
20       20       8        74       126      186      10       
5        5        16       75       59       119      10       
60       12       31       76       60       120      10       
23       3        7        77       120      180      10       
8        56       27       78       75       135      10       
6        68       30       79       74       134      10       
47       47       13       80       162      222      10       
49       58       10       81       71       131      10       
27       43       9        82       27       87       10       
37       31       14       83       20       80       10       
57       29       18       84       81       141      10       
63       23       2        85       72       132      10       
21       24       28       86       72       132      10       
12       24       13       87       75       135      10       
24       58       19       88       52       112      10       
67       5        25       89       117      177      10       
37       47       6        90       71       131      10       
49       42       13       91       152      212      10       
53       43       14       92       14       74       10       
61       52       3        93       148      208      10       
57       48       23       94       80       140      10       
56       37       6        95       20       80       10       
55       54       26       96       117      177      10       
4        18       35       97       105      165      10       
26       52       9        98       31       91       10       
26       35       15       99       62       122      10       
31       67       3        100      150      210      10       
40       50       0        1                                   
