X        Y        NODES    DEPOTS   CAPACITY   TRAVEL TIME              
40       50       100        1        200          240      
X        Y       DEMAND   NODE      EAR      LAT    SERVICE  
25       85       20       1        49       191      10       
22       75       30       2        30       168      10       
22       85       10       3        95       152      10       
20       80       40       4        69       193      10       
20       85       20       5        40       189      10       
18       75       20       6        60       159      10       
15       75       20       7        54       133      10       
15       80       10       8        67       144      10       
10       35       20       9        57       154      10       
10       40       30       10       106      161      10       
8        40       40       11       33       152      10       
8        45       20       12       32       148      10       
5        35       10       13       53       191      10       
5        45       10       14       35       194      10       
2        40       20       15       39       163      10       
0        40       20       16       41       141      10       
0        45       20       17       51       189      10       
44       5        20       18       73       130      10       
42       10       40       19       40       148      10       
42       15       10       20       94       179      10       
40       5        10       21       45       161      10       
40       15       40       22       64       149      10       
38       5        30       23       45       164      10       
38       15       10       24       51       194      10       
35       5        20       25       45       183      10       
95       30       30       26       90       169      10       
95       35       20       27       57       172      10       
92       30       10       28       55       174      10       
90       35       10       29       52       174      10       
88       30       10       30       52       147      10       
88       35       20       31       50       172      10       
87       30       10       32       61       178      10       
85       25       10       33       51       178      10       
85       35       30       34       83       168      10       
67       85       20       35       57       185      10       
65       85       40       36       43       186      10       
65       82       10       37       95       182      10       
62       80       30       38       38       141      10       
60       80       10       39       36       193      10       
60       85       30       40       61       138      10       
58       75       20       41       49       164      10       
55       80       10       42       33       180      10       
55       85       20       43       100      185      10       
55       82       10       44       35       142      10       
20       82       10       45       37       192      10       
18       80       10       46       71       184      10       
2        45       10       47       38       191      10       
42       5        10       48       50       184      10       
42       12       10       49       99       138      10       
72       35       30       50       83       178      10       
55       20       19       51       45       150      10       
25       30       3        52       25       150      10       
20       50       5        53       68       143      10       
55       60       16       54       107      200      10       
30       60       16       55       95       214      10       
50       35       19       56       91       198      10       
30       25       23       57       56       165      10       
15       10       20       58       51       182      10       
10       20       19       59       42       187      10       
15       60       17       60       62       203      10       
45       65       9        61       37       124      10       
65       35       3        62       29       168      10       
65       20       6        63       39       190      10       
45       30       17       64       20       139      10       
35       40       16       65       11       150      10       
41       37       16       66       97       198      10       
64       42       9        67       31       138      10       
40       60       21       68       101      216      10       
31       52       27       69       9        139      10       
35       69       23       70       30       210      10       
65       55       14       71       30       129      10       
63       65       8        72       27       202      10       
2        60       5        73       46       137      10       
20       20       8        74       71       193      10       
5        5        16       75       57       165      10       
60       12       31       76       48       131      10       
23       3        7        77       49       180      10       
8        56       27       78       47       162      10       
6        68       30       79       65       142      10       
47       47       13       80       93       222      10       
49       58       10       81       78       123      10       
27       43       9        82       14       140      10       
37       31       14       83       19       172      10       
57       29       18       84       73       148      10       
63       23       2        85       59       144      10       
21       24       28       86       63       140      10       
12       24       13       87       91       118      10       
24       58       19       88       27       136      10       
67       5        25       89       52       177      10       
37       47       6        90       53       148      10       
49       42       13       91       89       217      10       
53       43       14       92       14       177      10       
61       52       3        93       50       208      10       
57       48       23       94       76       143      10       
56       37       6        95       20       159      10       
55       54       26       96       105      188      10       
4        18       35       97       104      165      10       
26       52       9        98       14       136      10       
26       35       15       99       42       141      10       
31       67       3        100      43       210      10       
40       50       0        1                                   
