X	Y	NODES	DEPOTS	CAPACITY	TRAVEL	TIME
40	50	800	1	1000		960	
X	Y	DEMAND	NODE	EAR	LAT	SERVICE
25	85	20	1	673	793	10
22	75	30	2	152	272	10
22	85	10	3	471	591	10
20	80	40	4	644	764	10
20	85	20	5	73	193	10
18	75	20	6	388	508	10
15	75	20	7	300	420	10
15	80	10	8	367	487	10
10	35	20	9	371	491	10
10	40	30	10	519	639	10
8	40	40	11	195	315	10
8	45	20	12	223	343	10
5	35	10	13	653	773	10
5	45	10	14	35	155	10
2	40	20	15	174	294	10
0	40	20	16	255	375	10
0	45	20	17	703	823	10
44	5	20	18	335	455	10
42	10	40	19	254	374	10
42	15	10	20	537	657	10
40	5	10	21	215	335	10
40	15	40	22	375	495	10
38	5	30	23	201	321	10
38	15	10	24	681	801	10
35	5	20	25	784	904	10
95	30	30	26	529	649	10
95	35	20	27	146	266	10
92	30	10	28	149	269	10
90	35	10	29	194	314	10
88	30	10	30	246	366	10
88	35	20	31	165	285	10
87	30	10	32	621	741	10
85	25	10	33	80	200	10
85	35	30	34	487	607	10
67	85	20	35	657	777	10
65	85	40	36	43	163	10
65	82	10	37	557	677	10
62	80	30	38	278	398	10
60	80	10	39	64	184	10
60	85	30	40	329	449	10
58	75	20	41	376	496	10
55	80	10	42	33	153	10
55	85	20	43	574	694	10
55	82	10	44	217	337	10
20	82	10	45	37	157	10
18	80	10	46	489	609	10
2	45	10	47	105	225	10
42	5	10	48	732	852	10
42	12	10	49	440	560	10
72	35	30	50	507	627	10
55	20	19	51	326	446	10
25	30	3	52	175	295	10
20	50	5	53	375	495	10
55	60	16	54	601	721	10
30	60	16	55	599	719	10
50	35	19	56	557	677	10
30	25	23	57	397	517	10
15	10	20	58	782	902	10
10	20	19	59	42	162	10
15	60	17	60	694	814	10
45	65	9	61	258	378	10
65	35	3	62	167	287	10
65	20	6	63	39	159	10
45	30	17	64	191	311	10
35	40	16	65	11	131	10
41	37	16	66	566	686	10
64	42	9	67	268	388	10
40	60	21	68	612	732	10
31	52	27	69	157	277	10
35	69	23	70	810	930	10
65	55	14	71	241	361	10
63	65	8	72	60	180	10
2	60	5	73	286	406	10
20	20	8	74	645	765	10
5	5	16	75	232	352	10
60	12	31	76	268	388	10
23	3	7	77	764	884	10
8	56	27	78	365	485	10
6	68	30	79	352	472	10
47	47	13	80	822	942	10
49	58	10	81	355	475	10
27	43	9	82	152	272	10
37	31	14	83	105	225	10
57	29	18	84	395	515	10
63	23	2	85	344	464	10
21	24	28	86	349	469	10
12	24	13	87	359	479	10
24	58	19	88	260	380	10
67	5	25	89	713	833	10
37	47	6	90	359	479	10
49	42	13	91	719	839	10
53	43	14	92	14	134	10
61	52	3	93	808	928	10
57	48	23	94	392	512	10
56	37	6	95	100	220	10
55	54	26	96	562	682	10
4	18	35	97	547	667	10
26	52	9	98	172	292	10
26	35	15	99	308	428	10
31	67	3	100	810	930	10
25	85	20	101	0	911	10
22	75	30	102	0	919	10
22	85	10	103	0	910	10
20	80	40	104	644	764	10
20	85	20	105	0	909	10
18	75	20	106	388	508	10
15	75	20	107	0	914	10
15	80	10	108	367	487	10
10	35	20	109	371	491	10
10	40	30	110	519	639	10
8	40	40	111	195	315	10
8	45	20	112	0	917	10
5	35	10	113	653	773	10
5	45	10	114	35	155	10
2	40	20	115	174	294	10
0	40	20	116	255	375	10
0	45	20	117	703	823	10
44	5	20	118	335	455	10
42	10	40	119	254	374	10
42	15	10	120	537	657	10
40	5	10	121	0	905	10
40	15	40	122	375	495	10
38	5	30	123	201	321	10
38	15	10	124	681	801	10
35	5	20	125	784	904	10
95	30	30	126	0	891	10
95	35	20	127	146	266	10
92	30	10	128	149	269	10
90	35	10	129	194	314	10
88	30	10	130	246	366	10
88	35	20	131	0	899	10
87	30	10	132	621	741	10
85	25	10	133	80	200	10
85	35	30	134	0	902	10
67	85	20	135	657	777	10
65	85	40	136	43	163	10
65	82	10	137	0	909	10
62	80	30	138	278	398	10
60	80	10	139	64	184	10
60	85	30	140	329	449	10
58	75	20	141	376	496	10
55	80	10	142	33	153	10
55	85	20	143	574	694	10
55	82	10	144	217	337	10
20	82	10	145	37	157	10
18	80	10	146	489	609	10
2	45	10	147	105	225	10
42	5	10	148	0	904	10
42	12	10	149	440	560	10
72	35	30	150	0	914	10
55	20	19	151	326	446	10
25	30	3	152	0	925	10
20	50	5	153	375	495	10
55	60	16	154	601	721	10
30	60	16	155	599	719	10
50	35	19	156	557	677	10
30	25	23	157	397	517	10
15	10	20	158	782	902	10
10	20	19	159	0	907	10
15	60	17	160	694	814	10
45	65	9	161	258	378	10
65	35	3	162	167	287	10
65	20	6	163	39	159	10
45	30	17	164	191	311	10
35	40	16	165	11	131	10
41	37	16	166	566	686	10
64	42	9	167	268	388	10
40	60	21	168	612	732	10
31	52	27	169	157	277	10
35	69	23	170	810	930	10
65	55	14	171	241	361	10
63	65	8	172	0	922	10
2	60	5	173	286	406	10
20	20	8	174	645	765	10
5	5	16	175	0	892	10
60	12	31	176	268	388	10
23	3	7	177	764	884	10
8	56	27	178	365	485	10
6	68	30	179	352	472	10
47	47	13	180	822	942	10
49	58	10	181	355	475	10
27	43	9	182	0	935	10
37	31	14	183	0	930	10
57	29	18	184	395	515	10
63	23	2	185	0	914	10
21	24	28	186	349	469	10
12	24	13	187	359	479	10
24	58	19	188	260	380	10
67	5	25	189	713	833	10
37	47	6	190	359	479	10
49	42	13	191	0	937	10
53	43	14	192	14	134	10
61	52	3	193	808	928	10
57	48	23	194	0	932	10
56	37	6	195	0	929	10
55	54	26	196	0	934	10
4	18	35	197	547	667	10
26	52	9	198	0	935	10
26	35	15	199	308	428	10
31	67	3	200	810	930	10
25	85	20	201	0	911	10
22	75	30	202	0	919	10
22	85	10	203	0	910	10
20	80	40	204	644	764	10
20	85	20	205	0	909	10
18	75	20	206	388	508	10
15	75	20	207	0	914	10
15	80	10	208	367	487	10
10	35	20	209	371	491	10
10	40	30	210	519	639	10
8	40	40	211	195	315	10
8	45	20	212	0	917	10
5	35	10	213	653	773	10
5	45	10	214	0	914	10
2	40	20	215	174	294	10
0	40	20	216	0	908	10
0	45	20	217	703	823	10
44	5	20	218	0	904	10
42	10	40	219	0	909	10
42	15	10	220	0	914	10
40	5	10	221	0	905	10
40	15	40	222	375	495	10
38	5	30	223	201	321	10
38	15	10	224	0	914	10
35	5	20	225	784	904	10
95	30	30	226	0	891	10
95	35	20	227	146	266	10
92	30	10	228	0	894	10
90	35	10	229	0	897	10
88	30	10	230	246	366	10
88	35	20	231	0	899	10
87	30	10	232	0	898	10
85	25	10	233	80	200	10
85	35	30	234	0	902	10
67	85	20	235	657	777	10
65	85	40	236	43	163	10
65	82	10	237	0	909	10
62	80	30	238	278	398	10
60	80	10	239	64	184	10
60	85	30	240	329	449	10
58	75	20	241	376	496	10
55	80	10	242	33	153	10
55	85	20	243	0	911	10
55	82	10	244	217	337	10
20	82	10	245	37	157	10
18	80	10	246	0	912	10
2	45	10	247	0	911	10
42	5	10	248	0	904	10
42	12	10	249	440	560	10
72	35	30	250	0	914	10
55	20	19	251	0	916	10
25	30	3	252	0	925	10
20	50	5	253	375	495	10
55	60	16	254	0	931	10
30	60	16	255	599	719	10
50	35	19	256	557	677	10
30	25	23	257	0	923	10
15	10	20	258	782	902	10
10	20	19	259	0	907	10
15	60	17	260	0	923	10
45	65	9	261	0	934	10
65	35	3	262	167	287	10
65	20	6	263	0	910	10
45	30	17	264	191	311	10
35	40	16	265	11	131	10
41	37	16	266	566	686	10
64	42	9	267	268	388	10
40	60	21	268	612	732	10
31	52	27	269	157	277	10
35	69	23	270	810	930	10
65	55	14	271	0	924	10
63	65	8	272	0	922	10
2	60	5	273	0	910	10
20	20	8	274	645	765	10
5	5	16	275	0	892	10
60	12	31	276	268	388	10
23	3	7	277	764	884	10
8	56	27	278	365	485	10
6	68	30	279	352	472	10
47	47	13	280	822	942	10
49	58	10	281	0	937	10
27	43	9	282	0	935	10
37	31	14	283	0	930	10
57	29	18	284	395	515	10
63	23	2	285	0	914	10
21	24	28	286	0	917	10
12	24	13	287	359	479	10
24	58	19	288	260	380	10
67	5	25	289	0	897	10
37	47	6	290	0	945	10
49	42	13	291	0	937	10
53	43	14	292	14	134	10
61	52	3	293	808	928	10
57	48	23	294	0	932	10
56	37	6	295	0	929	10
55	54	26	296	0	934	10
4	18	35	297	0	901	10
26	52	9	298	0	935	10
26	35	15	299	308	428	10
31	67	3	300	810	930	10
25	85	20	301	0	911	10
22	75	30	302	0	919	10
22	85	10	303	0	910	10
20	80	40	304	644	764	10
20	85	20	305	0	909	10
18	75	20	306	0	916	10
15	75	20	307	0	914	10
15	80	10	308	367	487	10
10	35	20	309	371	491	10
10	40	30	310	0	918	10
8	40	40	311	195	315	10
8	45	20	312	0	917	10
5	35	10	313	653	773	10
5	45	10	314	0	914	10
2	40	20	315	174	294	10
0	40	20	316	0	908	10
0	45	20	317	0	909	10
44	5	20	318	0	904	10
42	10	40	319	0	909	10
42	15	10	320	0	914	10
40	5	10	321	0	905	10
40	15	40	322	0	915	10
38	5	30	323	201	321	10
38	15	10	324	0	914	10
35	5	20	325	784	904	10
95	30	30	326	0	891	10
95	35	20	327	0	892	10
92	30	10	328	0	894	10
90	35	10	329	0	897	10
88	30	10	330	0	898	10
88	35	20	331	0	899	10
87	30	10	332	0	898	10
85	25	10	333	0	898	10
85	35	30	334	0	902	10
67	85	20	335	0	905	10
65	85	40	336	0	906	10
65	82	10	337	0	909	10
62	80	30	338	278	398	10
60	80	10	339	0	913	10
60	85	30	340	0	909	10
58	75	20	341	0	919	10
55	80	10	342	0	916	10
55	85	20	343	0	911	10
55	82	10	344	217	337	10
20	82	10	345	0	912	10
18	80	10	346	0	912	10
2	45	10	347	0	911	10
42	5	10	348	0	904	10
42	12	10	349	0	911	10
72	35	30	350	0	914	10
55	20	19	351	0	916	10
25	30	3	352	0	925	10
20	50	5	353	375	495	10
55	60	16	354	0	931	10
30	60	16	355	599	719	10
50	35	19	356	0	931	10
30	25	23	357	0	923	10
15	10	20	358	782	902	10
10	20	19	359	0	907	10
15	60	17	360	0	923	10
45	65	9	361	0	934	10
65	35	3	362	167	287	10
65	20	6	363	0	910	10
45	30	17	364	0	929	10
35	40	16	365	0	938	10
41	37	16	366	0	936	10
64	42	9	367	268	388	10
40	60	21	368	0	940	10
31	52	27	369	157	277	10
35	69	23	370	0	930	10
65	55	14	371	0	924	10
63	65	8	372	0	922	10
2	60	5	373	0	910	10
20	20	8	374	645	765	10
5	5	16	375	0	892	10
60	12	31	376	268	388	10
23	3	7	377	764	884	10
8	56	27	378	0	917	10
6	68	30	379	352	472	10
47	47	13	380	0	942	10
49	58	10	381	0	937	10
27	43	9	382	0	935	10
37	31	14	383	0	930	10
57	29	18	384	395	515	10
63	23	2	385	0	914	10
21	24	28	386	0	917	10
12	24	13	387	359	479	10
24	58	19	388	0	932	10
67	5	25	389	0	897	10
37	47	6	390	0	945	10
49	42	13	391	0	937	10
53	43	14	392	14	134	10
61	52	3	393	0	928	10
57	48	23	394	0	932	10
56	37	6	395	0	929	10
55	54	26	396	0	934	10
4	18	35	397	0	901	10
26	52	9	398	0	935	10
26	35	15	399	308	428	10
31	67	3	400	810	930	10
25	85	20	401	431	911	10
22	75	30	402	30	510	10
22	85	10	403	291	771	10
20	80	40	404	674	734	10
20	85	20	405	40	520	10
18	75	20	406	393	502	10
15	75	20	407	120	600	10
15	80	10	408	397	457	10
10	35	20	409	401	461	10
10	40	30	410	535	622	10
8	40	40	411	225	285	10
8	45	20	412	43	523	10
5	35	10	413	683	743	10
5	45	10	414	35	366	10
2	40	20	415	204	264	10
0	40	20	416	204	425	10
0	45	20	417	698	827	10
44	5	20	418	306	483	10
42	10	40	419	199	428	10
42	15	10	420	494	699	10
40	5	10	421	45	525	10
40	15	40	422	383	486	10
38	5	30	423	231	291	10
38	15	10	424	609	872	10
35	5	20	425	821	881	10
95	30	30	426	349	829	10
95	35	20	427	138	273	10
92	30	10	428	78	339	10
90	35	10	429	132	375	10
88	30	10	430	252	359	10
88	35	20	431	50	530	10
87	30	10	432	562	799	10
85	25	10	433	71	208	10
85	35	30	434	307	787	10
67	85	20	435	655	778	10
65	85	40	436	43	186	10
65	82	10	437	377	857	10
62	80	30	438	308	368	10
60	80	10	439	46	201	10
60	85	30	440	339	438	10
58	75	20	441	377	494	10
55	80	10	442	33	166	10
55	85	20	443	531	736	10
55	82	10	444	247	307	10
20	82	10	445	37	177	10
18	80	10	446	432	665	10
2	45	10	447	38	322	10
42	5	10	448	424	904	10
42	12	10	449	460	539	10
72	35	30	450	327	807	10
55	20	19	451	273	498	10
25	30	3	452	25	505	10
20	50	5	453	405	465	10
55	60	16	454	554	767	10
30	60	16	455	629	689	10
50	35	19	456	560	673	10
30	25	23	457	342	571	10
15	10	20	458	842	902	10
10	20	19	459	42	522	10
15	60	17	460	623	884	10
45	65	9	461	214	421	10
65	35	3	462	197	257	10
65	20	6	463	39	316	10
45	30	17	464	191	310	10
35	40	16	465	11	140	10
41	37	16	466	570	681	10
64	42	9	467	298	358	10
40	60	21	468	613	730	10
31	52	27	469	187	247	10
35	69	23	470	780	930	10
65	55	14	471	191	410	10
63	65	8	472	27	507	10
2	60	5	473	240	451	10
20	20	8	474	675	735	10
5	5	16	475	57	537	10
60	12	31	476	298	358	10
23	3	7	477	794	854	10
8	56	27	478	366	483	10
6	68	30	479	382	442	10
47	47	13	480	817	942	10
49	58	10	481	332	497	10
27	43	9	482	14	494	10
37	31	14	483	19	499	10
57	29	18	484	425	485	10
63	23	2	485	164	644	10
21	24	28	486	310	507	10
12	24	13	487	389	449	10
24	58	19	488	262	377	10
67	5	25	489	611	897	10
37	47	6	490	311	526	10
49	42	13	491	457	937	10
53	43	14	492	14	74	10
61	52	3	493	789	928	10
57	48	23	494	212	692	10
56	37	6	495	20	500	10
55	54	26	496	382	862	10
4	18	35	497	516	697	10
26	52	9	498	14	494	10
26	35	15	499	338	398	10
31	67	3	500	870	930	10
25	85	20	501	613	853	10
22	75	30	502	92	332	10
22	85	10	503	411	651	10
20	80	40	504	584	824	10
20	85	20	505	40	280	10
18	75	20	506	328	568	10
15	75	20	507	240	480	10
15	80	10	508	307	547	10
10	35	20	509	311	551	10
10	40	30	510	459	699	10
8	40	40	511	135	375	10
8	45	20	512	163	403	10
5	35	10	513	593	833	10
5	45	10	514	35	275	10
2	40	20	515	114	354	10
0	40	20	516	195	435	10
0	45	20	517	643	883	10
44	5	20	518	275	515	10
42	10	40	519	194	434	10
42	15	10	520	477	717	10
40	5	10	521	155	395	10
40	15	40	522	315	555	10
38	5	30	523	141	381	10
38	15	10	524	621	861	10
35	5	20	525	664	904	10
95	30	30	526	469	709	10
95	35	20	527	86	326	10
92	30	10	528	89	329	10
90	35	10	529	134	374	10
88	30	10	530	186	426	10
88	35	20	531	105	345	10
87	30	10	532	561	801	10
85	25	10	533	51	291	10
85	35	30	534	427	667	10
67	85	20	535	597	837	10
65	85	40	536	43	283	10
65	82	10	537	497	737	10
62	80	30	538	218	458	10
60	80	10	539	36	276	10
60	85	30	540	269	509	10
58	75	20	541	316	556	10
55	80	10	542	33	273	10
55	85	20	543	514	754	10
55	82	10	544	157	397	10
20	82	10	545	37	277	10
18	80	10	546	429	669	10
2	45	10	547	45	285	10
42	5	10	548	664	904	10
42	12	10	549	380	620	10
72	35	30	550	447	687	10
55	20	19	551	266	506	10
25	30	3	552	115	355	10
20	50	5	553	315	555	10
55	60	16	554	541	781	10
30	60	16	555	539	779	10
50	35	19	556	497	737	10
30	25	23	557	337	577	10
15	10	20	558	662	902	10
10	20	19	559	42	282	10
