X        Y        NODES    DEPOTS   CAPACITY   TRAVEL TIME              
40       50       100        1        1000         960      
X        Y       DEMAND   NODE      EAR      LAT    SERVICE  
25       85       20       1        591      874      10       
22       75       30       2        73       350      10       
22       85       10       3        473      588      10       
20       80       40       4        418      913      10       
20       85       20       5        40       390      10       
18       75       20       6        249      646      10       
15       75       20       7        281      438      10       
15       80       10       8        272      581      10       
10       35       20       9        236      625      10       
10       40       30       10       470      687      10       
8        40       40       11       33       510      10       
8        45       20       12       166      399      10       
5        35       10       13       359      911      10       
5        45       10       14       35       457      10       
2        40       20       15       39       538      10       
0        40       20       16       214      415      10       
0        45       20       17       359      909      10       
44       5        20       18       338      451      10       
42       10       40       19       205      422      10       
42       15       10       20       511      682      10       
40       5        10       21       158      391      10       
40       15       40       22       263      606      10       
38       5        30       23       45       522      10       
38       15       10       24       598      883      10       
35       5        20       25       348      904      10       
95       30       30       26       509      668      10       
95       35       20       27       57       664      10       
92       30       10       28       68       349      10       
90       35       10       29       131      376      10       
88       30       10       30       114      497      10       
88       35       20       31       102      347      10       
87       30       10       32       564      797      10       
85       25       10       33       51       673      10       
85       35       30       34       462      631      10       
67       85       20       35       396      905      10       
65       85       40       36       43       712      10       
65       82       10       37       530      703      10       
62       80       30       38       131      544      10       
60       80       10       39       36       800      10       
60       85       30       40       233      544      10       
58       75       20       41       207      664      10       
55       80       10       42       33       624      10       
55       85       20       43       549      718      10       
55       82       10       44       62       491      10       
20       82       10       45       37       677      10       
18       80       10       46       435      662      10       
2        45       10       47       38       366      10       
42       5        10       48       636      904      10       
42       12       10       49       423      576      10       
72       35       30       50       471      662      10       
55       20       19       51       281      490      10       
25       30       3        52       109      360      10       
20       50       5        53       284      585      10       
55       60       16       54       568      753      10       
30       60       16       55       421      896      10       
50       35       19       56       404      829      10       
30       25       23       57       347      566      10       
15       10       20       58       380      902      10       
10       20       19       59       42       466      10       
15       60       17       60       613      894      10       
45       65       9        61       230      405      10       
65       35       3        62       29       587      10       
65       20       6        63       39       353      10       
45       30       17       64       20       497      10       
35       40       16       65       11       570      10       
41       37       16       66       423      828      10       
64       42       9        67       112      543      10       
40       60       21       68       441      902      10       
31       52       27       69       9        532      10       
35       69       23       70       211      930      10       
65       55       14       71       201      400      10       
63       65       8        72       27       382      10       
2        60       5        73       255      436      10       
20       20       8        74       427      913      10       
5        5        16       75       183      400      10       
60       12       31       76       162      493      10       
23       3        7        77       360      900      10       
8        56       27       78       195      654      10       
6        68       30       79       258      565      10       
47       47       13       80       426      942      10       
49       58       10       81       369      460      10       
27       43       9        82       85       338      10       
37       31       14       83       19       326      10       
57       29       18       84       304      605      10       
63       23       2        85       318      489      10       
21       24       28       86       332      485      10       
12       24       13       87       365      472      10       
24       58       19       88       100      539      10       
67       5        25       89       565      897      10       
37       47       6        90       324      513      10       
49       42       13       91       651      906      10       
53       43       14       92       14       669      10       
61       52       3        93       298      928      10       
57       48       23       94       385      518      10       
56       37       6        95       20       299      10       
55       54       26       96       538      705      10       
4        18       35       97       546      667      10       
26       52       9        98       109      354      10       
26       35       15       99       170      565      10       
31       67       3        100      262      930      10       
40       50       0        1                                   
