X        Y        NODES    DEPOTS   CAPACITY    TRAVEL TIME              
40       50       100        1        1000          960      
X        Y       DEMAND   NODE      EAR      LAT     SERVICE  
25       85       20       1        388      911      10       
22       75       30       2        30       546      10       
22       85       10       3        353      708      10       
20       80       40       4        425      913      10       
20       85       20       5        40       630      10       
18       75       20       6        228      667      10       
15       75       20       7        161      558      10       
15       80       10       8        229      624      10       
10       35       20       9        213      648      10       
10       40       30       10       404      753      10       
8        40       40       11       33       511      10       
8        45       20       12       46       519      10       
5        35       10       13       395      911      10       
5        45       10       14       35       697      10       
2        40       20       15       39       528      10       
0        40       20       16       94       535      10       
0        45       20       17       394      909      10       
44       5        20       18       218      571      10       
42       10       40       19       85       542      10       
42       15       10       20       391      802      10       
40       5        10       21       45       517      10       
40       15       40       22       229      640      10       
38       5        30       23       45       523      10       
38       15       10       24       389      914      10       
35       5        20       25       386      904      10       
95       30       30       26       389      788      10       
95       35       20       27       57       600      10       
92       30       10       28       55       575      10       
90       35       10       29       52       536      10       
88       30       10       30       90       521      10       
88       35       20       31       50       534      10       
87       30       10       32       425      898      10       
85       25       10       33       51       602      10       
85       35       30       34       342      751      10       
67       85       20       35       410      905      10       
65       85       40       36       43       617      10       
65       82       10       37       410      823      10       
62       80       30       38       114      561      10       
60       80       10       39       36       658      10       
60       85       30       40       191      586      10       
58       75       20       41       201      670      10       
55       80       10       42       33       568      10       
55       85       20       43       429      838      10       
55       82       10       44       49       504      10       
20       82       10       45       37       597      10       
18       80       10       46       315      782      10       
2        45       10       47       38       606      10       
42       5        10       48       396      904      10       
42       12       10       49       341      658      10       
72       35       30       50       351      782      10       
55       20       19       51       161      610      10       
25       30       3        52       25       516      10       
20       50       5        53       239      630      10       
55       60       16       54       448      873      10       
30       60       16       55       420      897      10       
50       35       19       56       390      843      10       
30       25       23       57       227      686      10       
15       10       20       58       401      902      10       
10       20       19       59       42       706      10       
15       60       17       60       401      923      10       
45       65       9        61       110      525      10       
65       35       3        62       29       548      10       
65       20       6        63       39       593      10       
45       30       17       64       20       498      10       
35       40       16       65       11       530      10       
41       37       16       66       404      847      10       
64       42       9        67       100      555      10       
40       60       21       68       436      907      10       
31       52       27       69       9        510      10       
35       69       23       70       330      930      10       
65       55       14       71       81       520      10       
63       65       8        72       27       622      10       
2        60       5        73       135      556      10       
20       20       8        74       430      913      10       
5        5        16       75       63       520      10       
60       12       31       76       125      530      10       
23       3        7        77       390      900      10       
8        56       27       78       190      659      10       
6        68       30       79       215      608      10       
47       47       13       80       444      942      10       
49       58       10       81       249      580      10       
27       43       9        82       14       506      10       
37       31       14       83       19       566      10       
57       29       18       84       259      650      10       
63       23       2        85       198      609      10       
21       24       28       86       212      605      10       
12       24       13       87       272      565      10       
24       58       19       88       90       549      10       
67       5        25       89       325      897      10       
37       47       6        90       204      633      10       
49       42       13       91       442      937      10       
53       43       14       92       14       581      10       
61       52       3        93       373      928      10       
57       48       23       94       265      638      10       
56       37       6        95       20       539      10       
55       54       26       96       418      825      10       
4        18       35       97       426      787      10       
26       52       9        98       14       499      10       
26       35       15       99       149      586      10       
31       67       3        100      356      930      10       
40       50       0        1                                   
