X      Y      NODES    DEPOTS   CAPACITY  TRAVEL TIME     
40    50     10      1        200          1236
X      Y      DEMAND NODE  EAR     LAT     SERVICE
45     68     10     1      912     967     90
45     70     30     2      825     870     90
42     66     10     3      65      146     90
42     68     10     4      727     782     90
42     65     10     5      15      67      90
40     69     20     6      621     702     90
40     66     20     7      170     225     90
38     68     20     8      255     324     90
38     70     10     9      534     605     90
35     66     10     10     357     410     90
