X      Y      NODES    DEPOTS    CAPACITY    TRAVEL TIME     
40    50     100      1         200          1236
X      Y      DEMAND NODE  EAR   LAT      SERVICE
45     68     10     1      0     1127     90
45     70     30     2      0     1125     90
42     66     10     3      0     1129     90
42     68     10     4      727    782     90
42     65     10     5      0     1130     90
40     69     20     6      0     1127     90
40     66     20     7      0     1130     90
38     68     20     8      255    324     90
38     70     10     9      534    605     90
35     66     10     10     0    1129      90
35     69     10     11     448   505      90
25     85     20     12     0    1107      90
22     75     30     13     30     92      90
22     85     10     14     0    1106      90
20     80     40     15     384   429      90
20     85     40     16     0    1105      90
18     75     20     17     0    1112      90
15     75     20     18     0    1110      90
15     80     10     19     0    1106      90
30     50     10     20     0    1136      90
30     52     20     21     0    1135      90
28     52     20     22     0    1133      90
28     55     10     23     732   777      90
25     50     10     24     0    1131      90
25     52     40     25     169   224      90
25     55     10     26     0     1130     90
23     52     10     27     0     1128     90
23     55     20     28     0     1128     90
20     50     10     29     0     1126     90
20     55     10     30     0     1125     90
10     35     20     31     0     1112     90
10     40     30     32     0     1114     90
8      40     40     33     0     1112     90
8      45     20     34     0     1113     90
5      35     10     35     0     1107     90
5      45     10     36     0     1110     90
2      40     20     37     0     1106     90
0      40     30     38     479    522     90
0      45     20     39     0     1105     90
35     30     10     40     0     1125     90
35     32     10     41     0     1127     90
33     32     20     42     0     1126     90
33     35     10     43     0     1129     90
32     30     10     44     359    412     90
30     30     10     45     0     1123     90
30     32     30     46     0     1125     90
30     35     10     47     0     1127     90
28     30     10     48     0     1122     90
28     35     10     49     0     1126     90
26     32     10     50     0     1123     90
25     30     10     51     0     1121     90
25     35     10     52     0     1124     90
44     5      20     53     286    347     90
42     10     40     54     0     1105     90
42     15     10     55     95     158     90
40     5      30     56     0     1101     90
40     15     40     57     0     1111     90
38     5      30     58     471    534     90
38     15     10     59     0     1110     90
35     5      20     60     0     1100     90
50     30     10     61     0     1123     90
50     35     20     62     262    317     90
50     40     50     63     0     1131     90
48     30     10     64     0     1124     90
48     40     10     65     0     1133     90
47     35     10     66     0     1129     90
47     40     10     67     12     77      90
45     30     10     68     0     1125     90
45     35     10     69     916    969     90
95     30     30     70     0     1087     90
95     35     20     71     0     1088     90
53     30     10     72     0     1122     90
92     30     10     73     0     1090     90
53     35     50     74     353    412     90
45     65     20     75     0     1130     90
90     35     10     76     203    260     90
88     30     10     77     574    643     90
88     35     20     78     0     1095     90
87     30     10     79     668    731     90
85     25     10     80     0     1094     90
85     35     30     81     0     1098     90
75     55     20     82     0     1110     90
72     55     10     83     0     1113     90
70     58     20     84     458    523     90
68     60     30     85     0     1116     90
66     55     10     86     0     1119     90
65     55     20     87     85     144     90
65     60     30     88     0     1119     90
63     58     10     89     0     1121     90
60     55     10     90     0     1125     90
60     60     10     91     0     1123     90
67     85     20     92     368    441     90
65     85     40     93     0     1102     90
65     82     10     94     0     1105     90
62     80     30     95     0     1108     90
60     80     10     96     0     1109     90
60     85     30     97     0     1105     90
58     75     20     98     0     1115     90
55     80     10     99     743    820     90
55     85     20     100    647    726     90
40     50     0      1               
