X      Y     NODES   DEPOTS   CAPACITY     TRAVEL TIME     
40    50     100     1       200           1236
X      Y      DEMAND NODE  EAR      LAT     SERVICE
45     68     10     1      885     994     90
45     70     30     2      802     893     90
42     66     10     3      25      186     90
42     68     10     4      699     810     90
42     65     10     5      15      120     90
40     69     20     6      580     743     90
40     66     20     7      142     253     90
38     68     20     8      220     359     90
38     70     10     9      499     640     90
35     66     10     10     331     436     90
35     69     10     11     420     533     90
25     85     20     12     617     756     90
22     75     30     13     30      155     90
22     85     10     14     541     646     90
20     80     40     15     362     451     90
20     85     40     16     448     555     90
18     75     20     17     75      172     90
15     75     20     18     142     291     90
15     80     10     19     244     379     90
30     50     10     20     10      137     90
30     52     20     21     888     991     90
28     52     20     22     776     919     90
28     55     10     23     709     800     90
25     50     10     24     25      184     90
25     52     40     25     142     251     90
25     55     10     26     582     741     90
23     52     10     27     234     343     90
23     55     20     28     523     616     90
20     50     10     29     335     428     90
20     55     10     30     422     531     90
10     35     20     31     181     256     90
10     40     30     32     31      170     90
8      40     40     33     52      193     90
8      45     20     34     719     848     90
5      35     10     35     252     375     90
5      45     10     36     639     742     90
2      40     20     37     357     460     90
0      40     30     38     457     544     90
0      45     20     39     538     653     90
35     30     10     40     236     349     90
35     32     10     41     132     269     90
33     32     20     42     27      190     90
33     35     10     43     16      144     90
32     30     10     44     332     439     90
30     30     10     45     512     629     90
30     32     30     46     417     540     90
30     35     10     47     982     1127    90
28     30     10     48     601     724     90
28     35     10     49     969     1098    90
26     32     10     50     783     912     90
25     30     10     51     695     816     90
25     35     10     52     883     998     90
44     5      20     53     255     378     90
42     10     40     54     150     293     90
42     15     10     55     63      190     90
40     5      30     56     359     462     90
40     15     40     57     35      140     90
38     5      30     58     439     566     90
38     15     10     59     607     784     90
35     5      20     60     529     662     90
50     30     10     61     491     650     90
50     35     20     62     235     344     90
50     40     50     63     147     242     90
48     30     10     64     601     724     90
48     40     10     65     50      155     90
47     35     10     66     802     899     90
47     40     10     67     12      143     90
45     30     10     68     712     799     90
45     35     10     69     889     996     90
95     30     30     70     353     490     90
95     35     20     71     260     393     90
53     30     10     72     422     533     90
92     30     10     73     442     587     90
53     35     50     74     323     442     90
45     65     20     75     962     1103    90
90     35     10     76     175     288     90
88     30     10     77     539     678     90
88     35     20     78     78      201     90
87     30     10     79     636     763     90
85     25     10     80     744     845     90
85     35     30     81     47      201     90
75     55     20     82     344     445     90
72     55     10     83     228     375     90
70     58     20     84     425     556     90
68     60     30     85     527     640     90
66     55     10     86     141     270     90
65     55     20     87     56      173     90
65     60     30     88     614     739     90
63     58     10     89     705     834     90
60     55     10     90     20      148     90
60     60     10     91     809     916     90
67     85     20     92     331     478     90
65     85     40     93     453     540     90
65     82     10     94     260     361     90
62     80     30     95     174     261     90
60     80     10     96     64      187     90
60     85     30     97     531     652     90
58     75     20     98     30      139     90
55     80     10     99     705     858     90
55     85     20     100    608     765     90
40     50     0      1               
