X      Y     NODES   DEPOTS   CAPACITY    TRAVEL TIME     
40    50     100     1       200          1236
X      Y     DEMAND  NODE   EAR      LAT   SERVICE
45     68     10     1      890     989     90
45     70     30     2      816     879     90
42     66     10     3      55      156     90
42     68     10     4      703     806     90
42     65     10     5      15      60      90
40     69     20     6      559     764     90
40     66     20     7      172     223     90
38     68     20     8      250     329     90
38     70     10     9      489     650     90
35     66     10     10     361     406     90
35     69     10     11     450     503     90
25     85     20     12     647     726     90
22     75     30     13     30      95      90
22     85     10     14     571     616     90
20     80     40     15     392     421     90
20     85     40     16     478     525     90
18     75     20     17     105     142     90
15     75     20     18     172     261     90
15     80     10     19     274     349     90
30     50     10     20     10      77      90
30     52     20     21     918     961     90
28     52     20     22     806     889     90
28     55     10     23     739     770     90
25     50     10     24     55      154     90
25     52     40     25     172     221     90
25     55     10     26     612     711     90
23     52     10     27     264     313     90
23     55     20     28     553     586     90
20     50     10     29     365     398     90
20     55     10     30     452     501     90
10     35     20     31     204     233     90
10     40     30     32     31      189     90
8      40     40     33     42      203     90
8      45     20     34     715     852     90
5      35     10     35     251     376     90
5      45     10     36     648     733     90
2      40     20     37     365     452     90
0      40     30     38     474     527     90
0      45     20     39     541     650     90
35     30     10     40     240     345     90
35     32     10     41     123     278     90
33     32     20     42     19      225     90
33     35     10     43     16      153     90
32     30     10     44     338     433     90
30     30     10     45     513     628     90
30     32     30     46     415     542     90
30     35     10     47     872     1127    90
28     30     10     48     599     726     90
28     35     10     49     917     1126    90
26     32     10     50     779     916     90
25     30     10     51     695     816     90
25     35     10     52     857     1024    90
44     5      20     53     221     412     90
42     10     40     54     96      347     90
42     15     10     55     35      233     90
40     5      30     56     347     474     90
40     15     40     57     35      172     90
38     5      30     58     403     602     90
38     15     10     59     521     870     90
35     5      20     60     487     704     90
50     30     10     61     422     719     90
50     35     20     62     217     362     90
50     40     50     63     142     247     90
48     30     10     64     567     758     90
48     40     10     65     34      171     90
47     35     10     66     794     907     90
47     40     10     67     12      226     90
45     30     10     68     716     795     90
45     35     10     69     873     1012    90
95     30     30     70     266     577     90
95     35     20     71     181     472     90
53     30     10     72     402     553     90
92     30     10     73     345     684     90
53     35     50     74     294     471     90
45     65     20     75     951     1114    90
90     35     10     76     153     310     90
88     30     10     77     450     767     90
88     35     20     78     50      237     90
87     30     10     79     567     832     90
85     25     10     80     713     876     90
85     35     30     81     47      331     90
75     55     20     82     311     478     90
72     55     10     83     127     476     90
70     58     20     84     349     632     90
68     60     30     85     476     691     90
66     55     10     86     67      344     90
65     55     20     87     25      256     90
65     60     30     88     546     807     90
63     58     10     89     630     909     90
60     55     10     90     20      293     90
60     60     10     91     769     956     90
67     85     20     92     229     580     90
65     85     40     93     442     551     90
65     82     10     94     227     394     90
62     80     30     95     163     272     90
60     80     10     96     36      291     90
60     85     30     97     469     714     90
58     75     20     98     30      227     90
55     80     10     99     595     968     90
55     85     20     100    493     880     90
40     50     0      1               
