X      Y     NODES   DEPOTS   CAPACITY     TRAVEL TIME     
40    50     100     1        200          1236
X      Y      DEMAND NODE   EAR     LAT     SERVICE
45     68     10     1      760     1120    90
45     70     30     2      668     1028    90
42     66     10     3      16      376     90
42     68     10     4      575     935     90
42     65     10     5      15      375     90
40     69     20     6      482     842     90
40     66     20     7      18      378     90
38     68     20     8      110     470     90
38     70     10     9      390     750     90
35     66     10     10     204     564     90
35     69     10     11     297     657     90
25     85     20     12     507     867     90
22     75     30     13     30      390     90
22     85     10     14     414     774     90
20     80     40     15     227     587     90
20     85     40     16     322     682     90
18     75     20     17     33      393     90
15     75     20     18     37      397     90
15     80     10     19     132     492     90
30     50     10     20     10      370     90
30     52     20     21     760     1120    90
28     52     20     22     668     1028    90
28     55     10     23     575     935     90
25     50     10     24     15      375     90
25     52     40     25     17      377     90
25     55     10     26     482     842     90
23     52     10     27     109     469     90
23     55     20     28     390     750     90
20     50     10     29     202     562     90
20     55     10     30     297     657     90
10     35     20     31     39      399     90
10     40     30     32     31      391     90
8      40     40     33     33      393     90
8      45     20     34     604     964     90
5      35     10     35     134     494     90
5      45     10     36     511     871     90
2      40     20     37     229     589     90
0      40     30     38     321     681     90
0      45     20     39     416     776     90
35     30     10     40     113     473     90
35     32     10     41     21      381     90
33     32     20     42     19      379     90
33     35     10     43     16      376     90
32     30     10     44     206     566     90
30     30     10     45     391     751     90
30     32     30     46     299     659     90
30     35     10     47     767     1127    90
28     30     10     48     483     843     90
28     35     10     49     766     1126    90
26     32     10     50     668     1028    90
25     30     10     51     576     936     90
25     35     10     52     761     1121    90
44     5      20     53     137     497     90
42     10     40     54     42      402     90
42     15     10     55     35      395     90
40     5      30     56     231     591     90
40     15     40     57     35      395     90
38     5      30     58     323     683     90
38     15     10     59     516     876     90
35     5      20     60     416     776     90
50     30     10     61     391     751     90
50     35     20     62     110     470     90
50     40     50     63     15      375     90
48     30     10     64     483     843     90
48     40     10     65     12      372     90
47     35     10     66     671     1031    90
47     40     10     67     12      372     90
45     30     10     68     576     936     90
45     35     10     69     763     1123    90
95     30     30     70     242     602     90
95     35     20     71     147     507     90
53     30     10     72     298     658     90
92     30     10     73     335     695     90
53     35     50     74     203     563     90
45     65     20     75     770     1130    90
90     35     10     76     52      412     90
88     30     10     77     429     789     90
88     35     20     78     50      410     90
87     30     10     79     520     880     90
85     25     10     80     615     975     90
85     35     30     81     47      407     90
75     55     20     82     215     575     90
72     55     10     83     122     482     90
70     58     20     84     311     671     90
68     60     30     85     404     764     90
66     55     10     86     26      386     90
65     55     20     87     25      385     90
65     60     30     88     497     857     90
63     58     10     89     590     950     90
60     55     10     90     20      380     90
60     60     10     91     683     1043    90
67     85     20     92     225     585     90
65     85     40     93     317     677     90
65     82     10     94     131     491     90
62     80     30     95     38      398     90
60     80     10     96     36      396     90
60     85     30     97     412     772     90
58     75     20     98     30      390     90
55     80     10     99     602     962     90
55     85     20     100    507     867     90
40     50     0      1               
