X      Y      NODES  DEPOTS CAPACITY TRAVEL TIME          
40     50     100    1      700           3390   
X      Y    DEMAND   NODE   EAR    LAT    SERVICE
52     75     10     1      0      3272   90     
45     70     30     2      0      3279   90     
62     69     10     3      0      3270   90     
60     66     10     4      1261   1421   90     
42     65     10     5      0      3284   90     
16     42     20     6      497    657    90     
58     70     20     7      0      3273   90     
34     60     20     8      2887   3047   90     
28     70     10     9      2601   2761   90     
35     66     10     10     2791   2951   90     
35     69     10     11     2698   2858   90     
25     85     20     12     0      3261   90     
22     75     30     13     2405   2565   90     
22     85     10     14     0      3260   90     
20     80     40     15     2216   2376   90     
20     85     40     16     0      3259   90     
18     75     20     17     2311   2471   90     
15     75     20     18     0      3264   90     
15     80     10     19     0      3260   90     
30     50     10     20     0      3290   90     
30     56     20     21     0      3288   90     
28     52     20     22     22     182    90     
14     66     10     23     1643   1803   90     
25     50     10     24     0      3285   90     
22     66     40     25     2504   2664   90     
8      62     10     26     0      3265   90     
23     52     10     27     209    369    90     
4      55     20     28     0      3263   90     
20     50     10     29     0      3280   90     
20     55     10     30     303    463    90     
10     35     20     31     0      3266   90     
10     40     30     32     0      3268   90     
8      40     40     33     685    845    90     
8      45     20     34     0      3267   90     
5      35     10     35     876    1036   90     
5      45     10     36     1253   1413   90     
2      40     20     37     0      3260   90     
0      40     30     38     1063   1223   90     
0      45     20     39     1158   1318   90     
36     18     10     40     1819   1979   90     
35     32     10     41     2758   2918   90     
33     32     20     42     2666   2826   90     
33     35     10     43     0      3283   90     
32     20     10     44     1913   2073   90     
30     30     10     45     2105   2265   90     
34     25     30     46     0      3274   90     
30     35     10     47     0      3281   90     
36     40     10     48     0      3289   90     
48     20     10     49     967    1127   90     
26     32     10     50     0      3277   90     
25     30     10     51     0      3275   90     
25     35     10     52     0      3278   90     
44     5      20     53     1256   1416   90     
42     10     40     54     0      3259   90     
42     15     10     55     1065   1225   90     
40     5      30     56     1350   1510   90     
38     15     40     57     0      3264   90     
38     5      30     58     1442   1602   90     
38     10     10     59     0      3259   90     
35     5      20     60     0      3254   90     
50     30     10     61     0      3277   90     
50     35     20     62     120    280    90     
50     40     50     63     0      3285   90     
48     30     10     64     493    653    90     
44     25     10     65     871    1031   90     
47     35     10     66     588    748    90     
47     40     10     67     12     172    90     
42     30     10     68     776    936    90     
45     35     10     69     680    840    90     
95     30     30     70     2321   2481   90     
95     35     20     71     0      3242   90     
53     30     10     72     0      3276   90     
92     30     10     73     0      3244   90     
53     35     50     74     213    373    90     
45     65     20     75     0      3284   90     
90     35     10     76     2131   2291   90     
72     45     10     77     2900   3060   90     
78     40     20     78     2802   2962   90     
87     30     10     79     2608   2768   90     
85     25     10     80     2513   2673   90     
85     35     30     81     0      3252   90     
75     55     20     82     0      3264   90     
72     55     10     83     0      3267   90     
70     58     20     84     1641   1801   90     
86     46     30     85     0      3253   90     
66     55     10     86     0      3273   90     
64     46     20     87     3097   3257   90     
65     60     30     88     1546   1706   90     
56     64     10     89     0      3278   90     
60     55     10     90     0      3279   90     
60     60     10     91     0      3277   90     
67     85     20     92     694    854    90     
42     58     40     93     8      168    90     
65     82     10     94     0      3259   90     
62     80     30     95     0      3262   90     
62     40     10     96     0      3275   90     
60     85     30     97     0      3259   90     
58     75     20     98     0      3269   90     
55     80     10     99     407    567    90     
55     85     20     100    502    662    90     
40     50     0      1                           
