X      Y      NODES  DEPOTS CAPACITYTRAVEL TIME          
40     50     100    1      700           3390   
X      Y    DEMAND   NODE   EAR    LAT    SERVICE
52     75     10     1      213    568    90     
45     70     30     2      22     563    90     
62     69     10     3      1030   1463   90     
60     66     10     4      1154   1527   90     
42     65     10     5      15     402    90     
16     42     20     6      331    822    90     
58     70     20     7      965    1340   90     
34     60     20     8      2653   3280   90     
28     70     10     9      2385   2976   90     
35     66     10     10     2628   3113   90     
35     69     10     11     2603   2952   90     
25     85     20     12     1985   2412   90     
22     75     30     13     2310   2659   90     
22     85     10     14     1846   2365   90     
20     80     40     15     2077   2514   90     
20     85     40     16     1763   2264   90     
18     75     20     17     2143   2638   90     
15     75     20     18     1560   2083   90     
15     80     10     19     1689   2144   90     
30     50     10     20     10     645    90     
30     56     20     21     2675   3288   90     
28     52     20     22     12     505    90     
14     66     10     23     1519   1926   90     
25     50     10     24     23     368    90     
22     66     40     25     2380   2787   90     
8      62     10     26     1330   1919   90     
23     52     10     27     93     484    90     
4      55     20     28     1268   1785   90     
20     50     10     29     168    787    90     
20     55     10     30     170    595    90     
10     35     20     31     585    1136   90     
10     40     30     32     448    897    90     
8      40     40     33     499    1030   90     
8      45     20     34     1190   1661   90     
5      35     10     35     666    1245   90     
5      45     10     36     1076   1589   90     
2      40     20     37     772    1329   90     
0      40     30     38     890    1395   90     
0      45     20     39     1036   1439   90     
36     18     10     40     1612   2185   90     
35     32     10     41     2599   3076   90     
33     32     20     42     2529   2962   90     
33     35     10     43     2463   2842   90     
32     20     10     44     1745   2240   90     
30     30     10     45     1932   2437   90     
34     25     30     46     1884   2293   90     
30     35     10     47     2348   2771   90     
36     40     10     48     2715   3156   90     
48     20     10     49     812    1281   90     
26     32     10     50     2018   2725   90     
25     30     10     51     2015   2544   90     
25     35     10     52     2201   2728   90     
44     5      20     53     1078   1593   90     
42     10     40     54     998    1481   90     
42     15     10     55     897    1392   90     
40     5      30     56     1199   1660   90     
38     15     40     57     1552   2057   90     
38     5      30     58     1263   1780   90     
38     10     10     59     1498   1921   90     
35     5      20     60     1325   1904   90     
50     30     10     61     223    738    90     
50     35     20     62     18     474    90     
50     40     50     63     14     360    90     
48     30     10     64     246    899    90     
44     25     10     65     704    1197   90     
47     35     10     66     393    942    90     
47     40     10     67     12     424    90     
42     30     10     68     641    1070   90     
45     35     10     69     534    985    90     
95     30     30     70     2119   2682   90     
95     35     20     71     2079   2532   90     
53     30     10     72     131    644    90     
92     30     10     73     2169   2818   90     
53     35     50     74     87     498    90     
45     65     20     75     15     607    90     
90     35     10     76     2002   2419   90     
72     45     10     77     2701   3258   90     
78     40     20     78     2599   3164   90     
87     30     10     79     2505   2870   90     
85     25     10     80     2369   2816   90     
85     35     30     81     2563   3002   90     
75     55     20     82     1783   2226   90     
72     55     10     83     1591   2232   90     
70     58     20     84     1513   1928   90     
86     46     30     85     1829   2388   90     
66     55     10     86     1604   2027   90     
64     46     20     87     2976   3275   90     
65     60     30     88     1338   1913   90     
56     64     10     89     1116   1753   90     
60     55     10     90     2789   3279   90     
60     60     10     91     1349   1712   90     
67     85     20     92     518    1029   90     
42     58     40     93     8      509    90     
65     82     10     94     549    1186   90     
62     80     30     95     744    1177   90     
62     40     10     96     2713   3275   90     
60     85     30     97     397    956    90     
58     75     20     98     839    1276   90     
55     80     10     99     272    701    90     
55     85     20     100    373    790    90     
40     50     0      1                           
