X        Y        NODES    DEPOTS   CAPACITY   TRAVEL TIME              
70       80       417        1        2000       1440     
X        Y        DEMAND   NODE     EAR      LAT      SER      
348      866      250      1        720      840      60       
348      877      150      2        300      540      60       
337      858      300      3        300      1320     60       
324      870      224      4        300      540      60       
332      876      210      5        720      840      60       
338      873      250      6        720      840      60       
305      879      220      7        300      1320     60       
342      868      300      8        300      540      60       
318      866      180      9        300      1320     60       
330      859      190      10       300      540      60       
319      852      160      11       840      1080     60       
335      865      270      12       300      1320     60       
340      861      210      13       840      1080     60       
338      871      255      14       300      1320     60       
335      868      228      15       240      300      60       
334      866      220      16       840      1080     60       
310      873      165      17       720      840      60       
344      857      215      18       300      540      60       
313      863      155      19       720      840      60       
336      868      200      20       300      540      60       
344      869      210      21       300      1320     60       
343      865      220      22       240      300      60       
348      870      280      23       840      1080     60       
314      869      190      24       840      1080     60       
335      868      240      25       240      300      60       
331      854      265      26       660      780      60       
342      862      230      27       300      540      60       
345      859      255      28       720      840      60       
332      875      225      29       300      1320     60       
340      860      170      30       300      540      60       
348      870      165      31       660      780      60       
347      877      200      32       300      540      60       
346      870      175      33       300      1320     60       
328      866      190      34       840      1080     60       
304      873      160      35       660      780      60       
304      872      220      36       660      780      60       
345      853      180      37       660      780      60       
347      854      240      38       300      1320     60       
348      850      133      39       720      840      60       
342      887      215      40       720      840      60       
312      854      200      41       300      1320     60       
325      850      250      42       660      780      60       
347      866      300      43       960      1080     60       
348      877      180      44       840      1080     60       
347      866      320      45       300      1320     60       
347      866      250      46       300      540      60       
347      866      250      47       240      300      60       
347      866      230      48       300      1320     60       
347      866      410      49       300      1320     60       
348      877      205      50       300      540      60       
337      858      340      51       660      780      60       
332      875      325      52       960      1080     60       
323      863      215      53       660      780      60       
324      863      195      54       660      780      60       
348      877      275      55       300      540      60       
326      855      280      56       720      840      60       
332      875      330      57       720      840      60       
318      859      250      58       720      840      60       
314      857      345      59       660      780      60       
325      865      315      60       300      540      60       
324      863      330      61       300      540      60       
324      863      350      62       840      1080     60       
324      863      300      63       840      1080     60       
343      862      340      64       840      1080     60       
313      858      327      65       840      1080     60       
312      854      295      66       960      1080     60       
328      852      350      67       300      540      60       
307      882      290      68       960      1080     60       
307      881      245      69       300      540      60       
306      882      290      70       720      840      60       
338      858      245      71       840      1080     60       
309      878      271      72       840      1080     60       
313      865      175      73       960      1080     60       
345      877      290      74       240      300      60       
311      871      280      75       300      1320     60       
304      877      255      76       240      300      60       
334      861      250      77       720      840      60       
313      857      360      78       840      1080     60       
325      862      270      79       960      1080     60       
343      863      215      80       300      1320     60       
337      868      300      81       660      780      60       
347      867      290      82       660      780      60       
325      878      195      83       960      1080     60       
333      864      331      84       300      540      60       
334      870      250      85       960      1080     60       
335      869      315      86       840      1080     60       
324      863      380      87       660      780      60       
336      866      355      88       300      1320     60       
315      879      345      89       960      1080     60       
332      868      280      90       720      840      60       
346      870      335      91       720      840      60       
325      859      330      92       660      780      60       
329      871      282      93       300      540      60       
319      877      310      94       300      1320     60       
307      879      215      95       840      1080     60       
337      878      330      96       840      1080     60       
341      880      290      97       720      840      60       
334      866      300      98       660      780      60       
334      869      295      99       960      1080     60       
337      867      259      100      720      840      60       
335      868      360      101      300      540      60       
308      881      260      102      300      1320     60       
347      870      268      103      840      1080     60       
310      875      285      104      660      780      60       
346      870      380      105      300      1320     60       
314      861      220      106      300      1320     60       
326      855      226      107      720      840      60       
336      868      290      108      720      840      60       
347      860      330      109      300      1320     60       
338      858      175      110      300      540      60       
304      883      330      111      660      780      60       
306      882      237      112      300      1320     60       
342      876      445      113      300      540      60       
307      881      245      114      300      1320     60       
324      863      350      115      300      1320     60       
340      860      265      116      720      840      60       
310      859      305      117      660      780      60       
332      863      220      118      720      840      60       
336      868      331      119      840      1080     60       
316      852      257      120      840      1080     60       
336      864      360      121      960      1080     60       
339      864      380      122      240      300      60       
313      854      360      123      240      300      60       
342      857      277      124      660      780      60       
324      863      400      125      300      1320     60       
324      863      310      126      300      1320     60       
337      858      255      127      300      540      60       
337      858      366      128      300      540      60       
328      858      335      129      720      840      60       
317      863      235      130      300      1320     60       
323      863      360      131      960      1080     60       
326      854      325      132      840      1080     60       
310      863      219      133      300      1320     60       
339      878      360      134      300      1320     60       
321      857      265      135      660      780      60       
331      868      270      136      960      1080     60       
350      858      240      137      840      1080     60       
331      868      380      138      960      1080     60       
314      853      275      139      300      540      60       
317      858      250      140      960      1080     60       
326      874      260      141      300      540      60       
339      856      260      142      960      1080     60       
347      860      250      143      660      780      60       
329      852      250      144      240      300      60       
350      910      250      145      300      540      60       
308      852      230      146      840      1080     60       
305      865      460      147      660      780      60       
304      872      265      148      660      780      60       
307      861      315      149      960      1080     60       
306      871      290      150      720      840      60       
304      872      225      151      300      540      60       
309      857      400      152      720      840      60       
304      865      225      153      300      1320     60       
304      872      290      154      840      1080     60       
306      866      465      155      840      1080     60       
303      856      185      156      300      1320     60       
302      856      180      157      300      540      60       
298      853      220      158      720      840      60       
302      858      160      159      240      300      60       
307      848      300      160      300      1320     60       
304      850      300      161      300      540      60       
302      856      185      162      300      540      60       
302      856      221      163      300      540      60       
306      866      215      164      240      300      60       
308      866      430      165      240      300      60       
304      866      350      166      960      1080     60       
302      858      100      167      960      1080     60       
304      872      245      168      840      1080     60       
297      850      250      169      720      840      60       
310      855      315      170      660      780      60       
304      872      300      171      960      1080     60       
304      872      265      172      720      840      60       
332      843      240      173      660      780      60       
326      837      165      174      300      540      60       
330      850      220      175      720      840      60       
321      842      171      176      300      1320     60       
320      838      155      177      300      1320     60       
326      839      190      178      240      300      60       
325      849      325      179      660      780      60       
325      837      160      180      240      300      60       
323      835      215      181      660      780      60       
334      848      165      182      300      540      60       
336      851      150      183      720      840      60       
314      849      240      184      840      1080     60       
337      840      145      185      960      1080     60       
340      834      325      186      840      1080     60       
339      845      200      187      720      840      60       
326      837      315      188      720      840      60       
331      842      190      189      660      780      60       
337      843      200      190      840      1080     60       
324      834      305      191      660      780      60       
339      845      206      192      300      540      60       
339      845      220      193      300      540      60       
336      844      250      194      840      1080     60       
337      847      130      195      240      300      60       
337      844      176      196      720      840      60       
338      841      168      197      660      780      60       
339      840      200      198      300      1320     60       
338      838      340      199      720      840      60       
338      842      204      200      660      780      60       
318      844      210      201      840      1080     60       
339      842      150      202      960      1080     60       
343      852      200      203      300      1320     60       
338      843      200      204      300      540      60       
332      843      245      205      720      840      60       
338      844      250      206      720      840      60       
337      843      250      207      660      780      60       
338      841      300      208      720      840      60       
338      841      220      209      300      1320     60       
339      842      150      210      720      840      60       
342      835      285      211      300      540      60       
338      842      180      212      300      540      60       
337      843      166      213      240      300      60       
338      846      200      214      660      780      60       
340      834      205      215      240      300      60       
341      840      340      216      840      1080     60       
338      844      190      217      300      1320     60       
329      846      260      218      840      1080     60       
337      842      150      219      720      840      60       
338      844      205      220      660      780      60       
325      849      200      221      840      1080     60       
337      839      215      222      960      1080     60       
330      839      211      223      300      540      60       
329      843      245      224      840      1080     60       
337      847      250      225      660      780      60       
339      845      179      226      240      300      60       
337      844      250      227      300      540      60       
334      848      260      228      300      1320     60       
335      844      242      229      960      1080     60       
321      842      155      230      840      1080     60       
337      840      140      231      300      1320     60       
337      841      178      232      300      540      60       
339      845      405      233      960      1080     60       
339      845      250      234      300      1320     60       
338      847      280      235      300      540      60       
339      842      250      236      660      780      60       
339      842      220      237      840      1080     60       
338      842      200      238      240      300      60       
325      828      215      239      720      840      60       
331      832      260      240      300      1320     60       
334      820      240      241      300      540      60       
335      825      270      242      300      1320     60       
335      820      170      243      840      1080     60       
334      819      289      244      660      780      60       
328      836      275      245      240      300      60       
328      837      230      246      720      840      60       
328      837      220      247      660      780      60       
338      847      275      248      300      1320     60       
350      852      240      249      300      1320     60       
334      820      250      250      300      540      60       
334      819      245      251      840      1080     60       
348      848      250      252      660      780      60       
335      820      232      253      300      540      60       
343      838      325      254      840      1080     60       
341      845      265      255      840      1080     60       
344      829      260      256      840      1080     60       
328      837      245      257      660      780      60       
322      831      230      258      300      1320     60       
343      838      274      259      300      1320     60       
342      845      240      260      720      840      60       
333      840      315      261      300      540      60       
337      827      290      262      660      780      60       
331      820      370      263      240      300      60       
341      843      423      264      300      540      60       
346      838      280      265      960      1080     60       
326      837      300      266      300      1320     60       
333      846      365      267      300      1320     60       
343      852      160      268      720      840      60       
327      838      300      269      240      300      60       
341      847      350      270      240      300      60       
342      839      455      271      840      1080     60       
323      840      220      272      840      1080     60       
325      829      230      273      660      780      60       
340      840      260      274      720      840      60       
328      837      340      275      300      1320     60       
341      847      265      276      720      840      60       
330      824      300      277      840      1080     60       
310      849      280      278      300      1320     60       
341      836      400      279      300      540      60       
337      851      275      280      300      1320     60       
334      845      128      281      240      300      60       
318      848      250      282      240      300      60       
345      844      285      283      240      300      60       
335      842      290      284      660      780      60       
326      842      250      285      240      300      60       
333      834      315      286      960      1080     60       
347      845      390      287      840      1080     60       
342      848      250      288      840      1080     60       
337      843      230      289      720      840      60       
338      842      200      290      240      300      60       
336      839      250      291      300      1320     60       
340      850      240      292      720      840      60       
336      844      200      293      840      1080     60       
335      853      275      294      300      1320     60       
343      831      275      295      240      300      60       
316      842      250      296      300      1320     60       
349      840      200      297      840      1080     60       
350      853      165      298      240      300      60       
345      840      250      299      300      540      60       
339      847      300      300      300      540      60       
341      828      195      301      840      1080     60       
349      834      255      302      720      840      60       
329      852      250      303      300      1320     60       
329      848      190      304      240      300      60       
335      820      290      305      840      1080     60       
334      820      375      306      660      780      60       
340      843      250      307      300      540      60       
337      849      300      308      960      1080     60       
345      835      180      309      720      840      60       
332      849      265      310      720      840      60       
345      840      220      311      720      840      60       
336      835      200      312      660      780      60       
344      849      250      313      720      840      60       
345      849      322      314      240      300      60       
325      849      295      315      660      780      60       
325      849      430      316      720      840      60       
334      817      250      317      840      1080     60       
335      820      250      318      840      1080     60       
299      901      180      319      840      1080     60       
325      921      250      320      720      840      60       
299      901      250      321      720      840      60       
308      899      220      322      840      1080     60       
302      933      250      323      300      540      60       
305      911      250      324      240      300      60       
303      933      164      325      660      780      60       
304      909      100      326      840      1080     60       
302      932      200      327      720      840      60       
302      932      200      328      300      1320     60       
300      902      170      329      300      1320     60       
303      898      140      330      300      1320     60       
336      884      335      331      960      1080     60       
334      910      295      332      660      780      60       
325      887      235      333      660      780      60       
317      891      181      334      300      1320     60       
313      893      250      335      720      840      60       
304      885      313      336      300      540      60       
304      887      290      337      720      840      60       
304      886      260      338      840      1080     60       
304      889      300      339      300      540      60       
304      889      245      340      960      1080     60       
317      886      380      341      240      300      60       
316      914      245      342      960      1080     60       
346      900      255      343      720      840      60       
304      885      245      344      300      1320     60       
324      901      165      345      840      1080     60       
349      886      300      346      660      780      60       
342      906      190      347      720      840      60       
323      909      235      348      300      540      60       
335      888      240      349      960      1080     60       
334      884      410      350      660      780      60       
317      891      190      351      720      840      60       
312      905      270      352      720      840      60       
340      885      315      353      240      300      60       
304      891      240      354      300      540      60       
325      887      265      355      840      1080     60       
304      891      290      356      300      1320     60       
342      887      290      357      240      300      60       
305      897      600      358      840      1080     60       
342      887      270      359      660      780      60       
323      892      185      360      840      1080     60       
323      902      320      361      840      1080     60       
304      891      225      362      840      1080     60       
354      846      250      363      840      1080     60       
351      849      210      364      300      1320     60       
354      862      415      365      300      1320     60       
356      870      262      366      660      780      60       
351      849      135      367      840      1080     60       
355      865      350      368      660      780      60       
354      846      260      369      660      780      60       
355      850      235      370      840      1080     60       
350      852      205      371      720      840      60       
350      852      195      372      240      300      60       
356      845      190      373      300      1320     60       
351      849      190      374      240      300      60       
350      852      150      375      300      1320     60       
353      852      250      376      840      1080     60       
351      849      300      377      240      300      60       
352      866      330      378      720      840      60       
352      870      261      379      300      1320     60       
350      857      273      380      300      1320     60       
353      845      280      381      300      1320     60       
358      843      205      382      300      540      60       
350      852      160      383      660      780      60       
357      889      245      384      720      840      60       
355      868      370      385      660      780      60       
355      844      375      386      300      1320     60       
350      853      310      387      840      1080     60       
357      884      315      388      300      1320     60       
352      858      265      389      720      840      60       
352      882      250      390      300      1320     60       
356      870      430      391      240      300      60       
356      893      305      392      300      1320     60       
351      900      215      393      840      1080     60       
352      900      235      394      660      780      60       
351      900      150      395      240      300      60       
351      900      245      396      720      840      60       
351      899      245      397      300      540      60       
360      894      265      398      840      1080     60       
357      843      200      399      660      780      60       
354      854      205      400      300      1320     60       
350      852      140      401      660      780      60       
352      861      375      402      300      1320     60       
351      900      138      403      300      1320     60       
350      897      235      404      300      540      60       
359      888      205      405      660      780      60       
351      851      200      406      720      840      60       
356      852      185      407      240      300      60       
353      890      220      408      660      780      60       
351      900      250      409      300      540      60       
351      853      160      410      840      1080     60       
354      846      250      411      300      1320     60       
354      846      280      412      300      1320     60       
351      900      1000     413      960      1080     60       
350      852      250      414      840      1080     60       
342      868      67       415      660      780      60       
346      870      119      416      240      300      60       
346      870      125      417      300      1320     60       
330      850      0        418                                 
