X         Y         NODES    DEPOTS   CAPACITY   TRAVEL TIME              
33.0      85.0      417        1        2000         1440     
X         Y         DEMAND   NODE     EAR      LAT      SER      
34.8      86.6      250      1        300      1320     60       
34.8      87.7      150      2        300      540      60       
33.7      85.8      300      3        300      1320     60       
32.4      87.0      224      4        300      540      60       
33.2      87.6      210      5        300      1320     60       
33.8      87.3      250      6        300      1320     60       
30.5      87.9      220      7        300      1320     60       
34.2      86.8      300      8        300      540      60       
31.8      86.6      180      9        300      1320     60       
33.0      85.9      190      10       300      540      60       
31.9      85.2      160      11       720      1080     60       
33.5      86.5      270      12       300      1320     60       
34.0      86.1      210      13       720      1080     60       
33.8      87.1      255      14       300      1320     60       
33.5      86.8      228      15       240      300      60       
33.4      86.6      220      16       720      1080     60       
31.0      87.3      165      17       300      1320     60       
34.4      85.7      215      18       300      540      60       
31.3      86.3      155      19       300      1320     60       
33.6      86.8      200      20       300      540      60       
34.4      86.9      210      21       300      1320     60       
34.3      86.5      220      22       240      300      60       
34.8      87.0      280      23       720      1080     60       
31.4      86.9      190      24       720      1080     60       
33.5      86.8      240      25       240      300      60       
33.1      85.4      265      26       300      1320     60       
34.2      86.2      230      27       300      540      60       
34.5      85.9      255      28       300      1320     60       
33.2      87.5      225      29       300      1320     60       
34.0      86.0      170      30       300      540      60       
34.8      87.0      165      31       300      1320     60       
34.7      87.7      200      32       300      540      60       
34.6      87.0      175      33       300      1320     60       
32.8      86.6      190      34       720      1080     60       
30.4      87.3      160      35       300      1320     60       
30.4      87.2      220      36       300      1320     60       
34.5      85.3      180      37       300      1320     60       
34.7      85.4      240      38       300      1320     60       
34.8      85.0      133      39       300      1320     60       
34.2      88.7      215      40       300      1320     60       
31.2      85.4      200      41       300      1320     60       
32.5      85.0      250      42       300      1320     60       
34.7      86.6      300      43       960      1080     60       
34.8      87.7      180      44       720      1080     60       
34.7      86.6      320      45       300      1320     60       
34.7      86.6      250      46       300      540      60       
34.7      86.6      250      47       240      300      60       
34.7      86.6      230      48       300      1320     60       
34.7      86.6      410      49       300      1320     60       
34.8      87.7      205      50       300      540      60       
33.7      85.8      340      51       300      1320     60       
33.2      87.5      325      52       960      1080     60       
32.3      86.3      215      53       300      1320     60       
32.4      86.3      195      54       300      1320     60       
34.8      87.7      275      55       300      540      60       
32.6      85.5      280      56       300      1320     60       
33.2      87.5      330      57       300      1320     60       
31.8      85.9      250      58       300      1320     60       
31.4      85.7      345      59       300      1320     60       
32.5      86.5      315      60       300      540      60       
32.4      86.3      330      61       300      540      60       
32.4      86.3      350      62       720      1080     60       
32.4      86.3      300      63       720      1080     60       
34.3      86.2      340      64       720      1080     60       
31.3      85.8      327      65       720      1080     60       
31.2      85.4      295      66       960      1080     60       
32.8      85.2      350      67       300      540      60       
30.7      88.2      290      68       960      1080     60       
30.7      88.1      245      69       300      540      60       
30.6      88.2      290      70       300      1320     60       
33.8      85.8      245      71       720      1080     60       
30.9      87.8      271      72       720      1080     60       
31.3      86.5      175      73       960      1080     60       
34.5      87.7      290      74       240      300      60       
31.1      87.1      280      75       300      1320     60       
30.4      87.7      255      76       240      300      60       
33.4      86.1      250      77       300      1320     60       
31.3      85.7      360      78       720      1080     60       
32.5      86.2      270      79       960      1080     60       
34.3      86.3      215      80       300      1320     60       
33.7      86.8      300      81       300      1320     60       
34.7      86.7      290      82       300      1320     60       
32.5      87.8      195      83       960      1080     60       
33.3      86.4      331      84       300      540      60       
33.4      87.0      250      85       960      1080     60       
33.5      86.9      315      86       720      1080     60       
32.4      86.3      380      87       300      1320     60       
33.6      86.6      355      88       300      1320     60       
31.5      87.9      345      89       960      1080     60       
33.2      86.8      280      90       300      1320     60       
34.6      87.0      335      91       300      1320     60       
32.5      85.9      330      92       300      1320     60       
32.9      87.1      282      93       300      540      60       
31.9      87.7      310      94       300      1320     60       
30.7      87.9      215      95       720      1080     60       
33.7      87.8      330      96       720      1080     60       
34.1      88.0      290      97       300      1320     60       
33.4      86.6      300      98       300      1320     60       
33.4      86.9      295      99       960      1080     60       
