X        Y        NODES    DEPOTS   CAPACITY   TRAVEL TIME    
35       35       100      1        200          230               
X        Y      DEMAND    NODE      EAR      LAT     SERVICE  
41       49       10       1        130      201      10       
35       17       7        2        20       89       10       
55       45       13       3        106      135      10       
55       20       19       4        71       195      10       
15       30       26       5        20       107      10       
25       30       3        6        54       153      10       
20       50       5        7        66       105      10       
10       43       9        8        61       138      10       
55       60       16       9        53       150      10       
30       60       16       10       101      156      10       
20       65       12       11       33       152      10       
50       35       19       12       38       97       10       
30       25       23       13       70       208      10       
15       10       20       14       32       137      10       
30       5        8        15       30       154      10       
10       20       19       16       54       105      10       
5        30       2        17       51       189      10       
20       40       12       18       77       106      10       
15       60       17       19       53       108      10       
45       65       9        20       109      152      10       
45       20       11       21       37       96       10       
45       10       18       22       59       144      10       
55       5        29       23       36       155      10       
65       35       3        24       118      190      10       
65       20       6        25       47       186      10       
45       30       17       26       117      156      10       
35       40       16       27       5        156      10       
41       37       16       28       8        79       10       
64       42       9        29       37       98       10       
40       60       21       30       28       123      10       
31       52       27       31       24       85       10       
35       69       23       32       116      175      10       
53       52       11       33       24       179      10       
65       55       14       34       100      143      10       
63       65       8        35       50       178      10       
2        60       5        36       41       178      10       
20       20       8        37       117      160      10       
5        5        16       38       42       145      10       
60       12       31       39       33       186      10       
40       25       9        40       51       128      10       
42       7        5        41       44       159      10       
24       12       5        42       25       172      10       
23       3        7        43       115      158      10       
11       14       18       44       31       138      10       
6        38       16       45       29       189      10       
2        48       1        46       93       150      10       
8        56       27       47       34       116      10       
13       52       36       48       125      192      10       
6        68       30       49       93       132      10       
47       47       13       50       105      152      10       
49       58       10       51       66       119      10       
27       43       9        52       25       88       10       
37       31       14       53       62       137      10       
57       29       18       54       121      168      10       
63       23       2        55       70       189      10       
53       12       6        56       81       188      10       
32       12       7        57       78       133      10       
36       26       18       58       79       210      10       
21       24       28       59       17       123      10       
17       34       3        60       130      201      10       
12       24       13       61       59       102      10       
24       58       19       62       25       164      10       
27       69       10       63       34       112      10       
15       77       9        64       46       165      10       
62       77       20       65       49       170      10       
49       73       25       66       77       179      10       
67       5        25       67       43       150      10       
56       39       36       68       82       198      10       
37       47       6        69       12       142      10       
37       56       5        70       21       198      10       
57       68       15       71       57       106      10       
47       16       25       72       22       110      10       
44       17       9        73       60       105      10       
46       13       8        74       73       195      10       
49       11       18       75       46       101      10       
49       42       13       76       36       119      10       
53       43       14       77       65       200      10       
61       52       3        78       43       158      10       
57       48       23       79       58       135      10       
56       37       6        80       69       198      10       
55       54       26       81       87       110      10       
15       47       16       82       28       91       10       
14       37       11       83       21       97       10       
11       31       7        84       68       143      10       
16       22       41       85       74       117      10       
4        18       35       86       79       118      10       
28       18       26       87       84       111      10       
26       52       9        88       24       133      10       
26       35       15       89       128      211      10       
31       67       3        90       76       123      10       
15       19       1        91       130      194      10       
22       22       2        92       18       181      10       
18       24       22       93       41       199      10       
26       27       27       94       88       121      10       
25       24       20       95       14       83       10       
22       27       11       96       119      160      10       
25       21       12       97       122      153      10       
19       21       10       98       32       93       10       
20       26       9        99       38       137      10       
18       18       17       100      28       195      10       
35       35       0        1                                   
