X	Y	NODES	DEPOTS	CAPACITY	TRAVEL	TIME
35	35	1100	1	1000		1000	
X	Y	DEMAND	NODE	EAR	LAT	SERVICE
41	49	10	1	707	848	10
35	17	7	2	143	282	10
55	45	13	3	527	584	10
55	20	19	4	678	801	10
15	30	26	5	34	209	10
25	30	3	6	415	514	10
20	50	5	7	331	410	10
10	43	9	8	404	481	10
55	60	16	9	400	497	10
30	60	16	10	577	632	10
20	65	12	11	206	325	10
50	35	19	12	228	345	10
30	25	23	13	690	827	10
15	10	20	14	32	243	10
30	5	8	15	175	300	10
10	20	19	16	272	373	10
5	30	2	17	733	870	10
20	40	12	18	377	434	10
15	60	17	19	269	378	10
45	65	9	20	581	666	10
45	20	11	21	214	331	10
45	10	18	22	409	494	10
55	5	29	23	206	325	10
65	35	3	24	704	847	10
65	20	6	25	817	956	10
45	30	17	26	588	667	10
35	40	16	27	104	255	10
41	37	16	28	114	255	10
64	42	9	29	190	313	10
40	60	21	30	259	354	10
31	52	27	31	152	275	10
35	69	23	32	660	777	10
53	52	11	33	45	200	10
65	55	14	34	529	614	10
63	65	8	35	686	813	10
2	60	5	36	41	208	10
20	20	8	37	606	693	10
5	5	16	38	302	405	10
60	12	31	39	33	224	10
40	25	9	40	360	437	10
42	7	5	41	396	511	10
24	12	5	42	25	172	10
23	3	7	43	620	705	10
11	14	18	44	233	340	10
6	38	16	45	29	189	10
2	48	1	46	515	628	10
8	56	27	47	85	250	10
13	52	36	48	773	906	10
6	68	30	49	501	540	10
47	47	13	50	547	642	10
49	58	10	51	348	453	10
27	43	9	52	174	299	10
37	31	14	53	414	489	10
57	29	18	54	641	734	10
63	23	2	55	620	739	10
53	12	6	56	585	692	10
32	12	7	57	421	530	10
36	26	18	58	849	980	10
21	24	28	59	17	229	10
17	34	3	60	721	862	10
12	24	13	61	290	377	10
24	58	19	62	163	302	10
27	69	10	63	34	191	10
15	77	9	64	214	333	10
62	77	20	65	49	188	10
49	73	25	66	592	693	10
67	5	25	67	294	401	10
56	39	36	68	637	752	10
37	47	6	69	162	293	10
37	56	5	70	788	968	10
57	68	15	71	268	367	10
47	16	25	72	31	208	10
44	17	9	73	308	399	10
46	13	8	74	681	802	10
49	11	18	75	236	345	10
49	42	13	76	290	373	10
53	43	14	77	817	952	10
61	52	3	78	384	499	10
57	48	23	79	388	465	10
56	37	6	80	839	968	10
55	54	26	81	411	456	10
15	47	16	82	162	289	10
14	37	11	83	96	249	10
11	31	7	84	436	511	10
16	22	41	85	376	461	10
4	18	35	86	388	465	10
28	18	26	87	420	447	10
26	52	9	88	279	388	10
26	35	15	89	755	920	10
31	67	3	90	392	487	10
15	19	1	91	739	866	10
22	22	2	92	18	181	10
18	24	22	93	811	969	10
26	27	27	94	436	503	10
25	24	20	95	92	231	10
22	27	11	96	607	690	10
25	21	12	97	612	673	10
19	21	10	98	183	306	10
20	26	9	99	333	432	10
18	18	17	100	798	965	10
41	49	10	101	0	974	10
35	17	7	102	0	972	10
55	45	13	103	0	967	10
55	20	19	104	678	801	10
15	30	26	105	0	969	10
25	30	3	106	415	514	10
20	50	5	107	0	968	10
10	43	9	108	404	481	10
55	60	16	109	400	497	10
30	60	16	110	577	632	10
20	65	12	111	206	325	10
50	35	19	112	0	975	10
30	25	23	113	690	827	10
15	10	20	114	32	243	10
30	5	8	115	175	300	10
10	20	19	116	272	373	10
5	30	2	117	733	870	10
20	40	12	118	377	434	10
15	60	17	119	269	378	10
45	65	9	120	581	666	10
45	20	11	121	0	971	10
45	10	18	122	409	494	10
55	5	29	123	206	325	10
65	35	3	124	704	847	10
65	20	6	125	817	956	10
45	30	17	126	0	978	10
35	40	16	127	104	255	10
41	37	16	128	114	255	10
64	42	9	129	190	313	10
40	60	21	130	259	354	10
31	52	27	131	0	972	10
35	69	23	132	660	777	10
53	52	11	133	45	200	10
65	55	14	134	0	953	10
63	65	8	135	686	813	10
2	60	5	136	41	208	10
20	20	8	137	0	968	10
5	5	16	138	302	405	10
60	12	31	139	33	224	10
40	25	9	140	360	437	10
42	7	5	141	396	511	10
24	12	5	142	25	172	10
23	3	7	143	620	705	10
11	14	18	144	233	340	10
6	38	16	145	29	189	10
2	48	1	146	515	628	10
8	56	27	147	85	250	10
13	52	36	148	0	962	10
6	68	30	149	501	540	10
47	47	13	150	0	973	10
49	58	10	151	348	453	10
27	43	9	152	0	978	10
37	31	14	153	414	489	10
57	29	18	154	641	734	10
63	23	2	155	620	739	10
53	12	6	156	585	692	10
32	12	7	157	421	530	10
36	26	18	158	849	980	10
21	24	28	159	0	972	10
17	34	3	160	721	862	10
12	24	13	161	290	377	10
24	58	19	162	163	302	10
27	69	10	163	34	191	10
15	77	9	164	214	333	10
62	77	20	165	49	188	10
49	73	25	166	592	693	10
67	5	25	167	294	401	10
56	39	36	168	637	752	10
37	47	6	169	162	293	10
37	56	5	170	788	968	10
57	68	15	171	268	367	10
47	16	25	172	0	967	10
44	17	9	173	308	399	10
46	13	8	174	681	802	10
49	11	18	175	0	962	10
49	42	13	176	290	373	10
53	43	14	177	817	952	10
61	52	3	178	384	499	10
57	48	23	179	388	465	10
56	37	6	180	839	968	10
55	54	26	181	411	456	10
15	47	16	182	0	966	10
14	37	11	183	0	968	10
11	31	7	184	436	511	10
16	22	41	185	0	966	10
4	18	35	186	388	465	10
28	18	26	187	420	447	10
26	52	9	188	279	388	10
26	35	15	189	755	920	10
31	67	3	190	392	487	10
15	19	1	191	0	964	10
22	22	2	192	18	181	10
18	24	22	193	811	969	10
26	27	27	194	0	977	10
25	24	20	195	0	975	10
22	27	11	196	0	974	10
25	21	12	197	612	673	10
19	21	10	198	0	968	10
20	26	9	199	333	432	10
18	18	17	200	798	965	10
41	49	10	201	0	974	10
35	17	7	202	0	972	10
55	45	13	203	0	967	10
55	20	19	204	678	801	10
15	30	26	205	0	969	10
25	30	3	206	415	514	10
20	50	5	207	0	968	10
10	43	9	208	404	481	10
55	60	16	209	400	497	10
30	60	16	210	577	632	10
20	65	12	211	206	325	10
50	35	19	212	0	975	10
30	25	23	213	690	827	10
15	10	20	214	0	957	10
30	5	8	215	175	300	10
10	20	19	216	0	960	10
5	30	2	217	733	870	10
20	40	12	218	0	974	10
