X        Y        NODES    DEPOTS   CAPACITY   TRAVEL TIME              
35       35       100       1        1000         1000     
X        Y       DEMAND   NODE      EAR      LAT     SERVICE  
41       49       10       1        658      898      10       
35       17       7        2        93       333      10       
55       45       13       3        436      676      10       
55       20       19       4        620      860      10       
15       30       26       5        20       260      10       
25       30       3        6        345      585      10       
20       50       5        7        251      491      10       
10       43       9        8        323      563      10       
55       60       16       9        329      569      10       
30       60       16       10       485      725      10       
20       65       12       11       146      386      10       
50       35       19       12       167      407      10       
30       25       23       13       639      879      10       
15       10       20       14       32       272      10       
30       5        8        15       118      358      10       
10       20       19       16       203      443      10       
5        30       2        17       682      922      10       
20       40       12       18       286      526      10       
15       60       17       19       204      444      10       
45       65       9        20       504      744      10       
45       20       11       21       153      393      10       
45       10       18       22       332      572      10       
55       5        29       23       146      386      10       
65       35       3        24       656      896      10       
65       20       6        25       716      956      10       
45       30       17       26       508      748      10       
35       40       16       27       60       300      10       
41       37       16       28       65       305      10       
64       42       9        29       132      372      10       
40       60       21       30       187      427      10       
31       52       27       31       94       334      10       
35       69       23       32       599      839      10       
53       52       11       33       24       264      10       
65       55       14       34       452      692      10       
63       65       8        35       630      870      10       
2        60       5        36       41       281      10       
20       20       8        37       530      770      10       
5        5        16       38       234      474      10       
60       12       31       39       33       273      10       
40       25       9        40       279      519      10       
42       7        5        41       334      574      10       
24       12       5        42       25       265      10       
23       3        7        43       543      783      10       
11       14       18       44       167      407      10       
6        38       16       45       29       269      10       
2        48       1        46       452      692      10       
8        56       27       47       48       288      10       
13       52       36       48       720      960      10       
6        68       30       49       401      641      10       
47       47       13       50       475      715      10       
49       58       10       51       281      521      10       
27       43       9        52       117      357      10       
37       31       14       53       332      572      10       
57       29       18       54       568      808      10       
63       23       2        55       560      800      10       
53       12       6        56       519      759      10       
32       12       7        57       356      596      10       
36       26       18       58       740      980      10       
21       24       28       59       17       257      10       
17       34       3        60       672      912      10       
12       24       13       61       214      454      10       
24       58       19       62       113      353      10       
27       69       10       63       34       274      10       
15       77       9        64       154      394      10       
62       77       20       65       49       289      10       
49       73       25       66       523      763      10       
67       5        25       67       228      468      10       
56       39       36       68       575      815      10       
37       47       6        69       108      348      10       
37       56       5        70       728      968      10       
57       68       15       71       198      438      10       
47       16       25       72       22       262      10       
44       17       9        73       234      474      10       
46       13       8        74       622      862      10       
49       11       18       75       171      411      10       
49       42       13       76       212      452      10       
53       43       14       77       730      970      10       
61       52       3        78       322      562      10       
57       48       23       79       307      547      10       
56       37       6        80       728      968      10       
55       54       26       81       314      554      10       
15       47       16       82       106      346      10       
14       37       11       83       53       293      10       
11       31       7        84       354      594      10       
16       22       41       85       299      539      10       
4        18       35       86       307      547      10       
28       18       26       87       314      554      10       
26       52       9        88       214      454      10       
26       35       15       89       718      958      10       
31       67       3        90       320      560      10       
15       19       1        91       683      923      10       
22       22       2        92       18       258      10       
18       24       22       93       729      969      10       
26       27       27       94       350      590      10       
25       24       20       95       42       282      10       
22       27       11       96       529      769      10       
25       21       12       97       523      763      10       
19       21       10       98       125      365      10       
20       26       9        99       263      503      10       
18       18       17       100      725      965      10       
35       35       0        1                                   
