X        Y        NODES    DEPOTS   CAPACITY  TRAVEL TIME              
35       35       100       1         1000       1000     
X        Y       DEMAND   NODE      EAR      LAT     SERVICE  
41       49       10       1        0        974      10       
35       17       7        2        0        972      10       
55       45       13       3        0        967      10       
55       20       19       4        620      860      10       
15       30       26       5        0        969      10       
25       30       3        6        0        978      10       
20       50       5        7        0        968      10       
10       43       9        8        323      563      10       
55       60       16       9        329      569      10       
30       60       16       10       0        964      10       
20       65       12       11       146      386      10       
50       35       19       12       0        975      10       
30       25       23       13       639      879      10       
15       10       20       14       0        957      10       
30       5        8        15       118      358      10       
10       20       19       16       0        960      10       
5        30       2        17       0        959      10       
20       40       12       18       0        974      10       
15       60       17       19       0        957      10       
45       65       9        20       0        958      10       
45       20       11       21       0        971      10       
45       10       18       22       0        963      10       
55       5        29       23       146      386      10       
65       35       3        24       0        960      10       
65       20       6        25       716      956      10       
45       30       17       26       0        978      10       
35       40       16       27       0        985      10       
41       37       16       28       0        983      10       
64       42       9        29       0        960      10       
40       60       21       30       0        964      10       
31       52       27       31       0        972      10       
35       69       23       32       0        956      10       
53       52       11       33       0        965      10       
65       55       14       34       0        953      10       
63       65       8        35       0        948      10       
2        60       5        36       0        948      10       
20       20       8        37       0        968      10       
5        5        16       38       234      474      10       
60       12       31       39       0        956      10       
40       25       9        40       0        978      10       
42       7        5        41       0        961      10       
24       12       5        42       0        964      10       
23       3        7        43       0        955      10       
11       14       18       44       167      407      10       
6        38       16       45       0        960      10       
2        48       1        46       0        954      10       
8        56       27       47       0        955      10       
13       52       36       48       0        962      10       
6        68       30       49       0        946      10       
47       47       13       50       0        973      10       
49       58       10       51       0        963      10       
27       43       9        52       0        978      10       
37       31       14       53       332      572      10       
57       29       18       54       0        967      10       
63       23       2        55       560      800      10       
53       12       6        56       0        960      10       
32       12       7        57       0        966      10       
36       26       18       58       740      980      10       
21       24       28       59       0        972      10       
17       34       3        60       0        971      10       
12       24       13       61       0        964      10       
24       58       19       62       113      353      10       
27       69       10       63       0        955      10       
15       77       9        64       0        943      10       
62       77       20       65       0        940      10       
49       73       25       66       0        949      10       
67       5        25       67       228      468      10       
56       39       36       68       0        968      10       
37       47       6        69       108      348      10       
37       56       5        70       0        968      10       
57       68       15       71       0        950      10       
47       16       25       72       0        967      10       
44       17       9        73       0        969      10       
46       13       8        74       622      862      10       
49       11       18       75       0        962      10       
49       42       13       76       212      452      10       
53       43       14       77       730      970      10       
61       52       3        78       0        958      10       
57       48       23       79       307      547      10       
56       37       6        80       0        968      10       
55       54       26       81       0        962      10       
15       47       16       82       0        966      10       
14       37       11       83       0        968      10       
11       31       7        84       354      594      10       
16       22       41       85       0        966      10       
4        18       35       86       0        954      10       
28       18       26       87       314      554      10       
26       52       9        88       0        970      10       
26       35       15       89       0        981      10       
31       67       3        90       0        957      10       
15       19       1        91       0        964      10       
22       22       2        92       18       258      10       
18       24       22       93       0        969      10       
26       27       27       94       0        977      10       
25       24       20       95       0        975      10       
22       27       11       96       0        974      10       
25       21       12       97       0        972      10       
19       21       10       98       0        968      10       
20       26       9        99       263      503      10       
18       18       17       100      725      965      10       
35       35       0        1                                   
