X        Y        NODES    DEPOTS   CAPACITY    TRAVEL TIME   
35       35       100       1         1000          1000     
X        Y       DEMAND   NODE      EAR      LAT     SERVICE  
41       49       10       1        451      974      10       
35       17       7        2        18       534      10       
55       45       13       3        378      733      10       
55       20       19       4        477      965      10       
15       30       26       5        20       610      10       
25       30       3        6        245      684      10       
20       50       5        7        172      569      10       
10       43       9        8        245      640      10       
55       60       16       9        231      666      10       
30       60       16       10       430      779      10       
20       65       12       11       33       511      10       
50       35       19       12       50       523      10       
30       25       23       13       462      978      10       
15       10       20       14       32       694      10       
30       5        8        15       30       519      10       
10       20       19       16       102      543      10       
5        30       2        17       444      959      10       
20       40       12       18       229      582      10       
15       60       17       19       95       552      10       
45       65       9        20       418      829      10       
45       20       11       21       36       509      10       
45       10       18       22       246      657      10       
55       5        29       23       36       514      10       
65       35       3        24       435      960      10       
65       20       6        25       438      956      10       
45       30       17       26       428      827      10       
35       40       16       27       5        548      10       
41       37       16       28       6        526      10       
64       42       9        29       29       513      10       
40       60       21       30       91       522      10       
31       52       27       31       17       501      10       
35       69       23       32       482      955      10       
53       52       11       33       24       575      10       
65       55       14       34       367      776      10       
63       65       8        35       453      948      10       
2        60       5        36       41       615      10       
20       20       8        37       443      856      10       
5        5        16       38       130      577      10       
60       12       31       39       33       655      10       
40       25       9        40       201      596      10       
42       7        5        41       219      688      10       
24       12       5        42       25       560      10       
23       3        7        43       458      867      10       
11       14       18       44       59       514      10       
6        38       16       45       29       589      10       
2        48       1        46       338      805      10       
8        56       27       47       34       602      10       
13       52       36       48       454      962      10       
6        68       30       49       362      679      10       
47       47       13       50       379      810      10       
49       58       10       51       176      625      10       
27       43       9        52       11       502      10       
37       31       14       53       256      647      10       
57       29       18       54       475      900      10       
63       23       2        55       441      918      10       
53       12       6        56       412      865      10       
32       12       7        57       246      705      10       
36       26       18       58       479      980      10       
21       24       28       59       17       681      10       
17       34       3        60       449      971      10       
12       24       13       61       126      541      10       
24       58       19       62       25       544      10       
27       69       10       63       34       588      10       
15       77       9        64       46       524      10       
62       77       20       65       49       568      10       
49       73       25       66       421      864      10       
67       5        25       67       120      575      10       
56       39       36       68       459      930      10       
37       47       6        69       12       513      10       
37       56       5        70       368      968      10       
57       68       15       71       98       537      10       
47       16       25       72       22       617      10       
44       17       9        73       143      564      10       
46       13       8        74       482      965      10       
49       11       18       75       62       519      10       
49       42       13       76       129      534      10       
53       43       14       77       460      970      10       
61       52       3        78       207      676      10       
57       48       23       79       230      623      10       
56       37       6        80       470      968      10       
55       54       26       81       268      599      10       
15       47       16       82       23       515      10       
14       37       11       83       21       568      10       
11       31       7        84       278      669      10       
16       22       41       85       213      624      10       
4        18       35       86       230      623      10       
28       18       26       87       287      580      10       
26       52       9        88       104      563      10       
26       35       15       89       409      981      10       
31       67       3        90       225      654      10       
15       19       1        91       469      964      10       
22       22       2        92       18       585      10       
18       24       22       93       414      969      10       
26       27       27       94       283      656      10       
25       24       20       95       14       533      10       
22       27       11       96       445      852      10       
25       21       12       97       462      823      10       
19       21       10       98       21       506      10       
20       26       9        99       164      601      10       
18       18       17       100      391      965      10       
35       35       0        1                                   
