X        Y        NODES    DEPOTS   CAPACITY   TRAVEL TIME              
40       50       100        1         200         240      
X        Y       DEMAND   NODE      EAR      LAT    SERVICE  
25       85       20       1        125      191      10       
22       75       30       2        32       97       10       
22       85       10       3        101      146      10       
20       80       40       4        71       193      10       
20       85       20       5        40       113      10       
18       75       20       6        55       164      10       
15       75       20       7        69       118      10       
15       80       10       8        56       155      10       
10       35       20       9        51       160      10       
10       40       30       10       90       177      10       
8        40       40       11       33       152      10       
8        45       20       12       49       108      10       
5        35       10       13       62       191      10       
5        45       10       14       35       117      10       
2        40       20       15       39       161      10       
0        40       20       16       59       114      10       
0        45       20       17       60       189      10       
44       5        20       18       79       124      10       
42       10       40       19       58       115      10       
42       15       10       20       111      162      10       
40       5        10       21       52       111      10       
40       15       40       22       55       158      10       
38       5        30       23       45       164      10       
38       15       10       24       128      194      10       
35       5        20       25       54       184      10       
95       30       30       26       105      154      10       
95       35       20       27       57       172      10       
92       30       10       28       55       120      10       
90       35       10       29       52       112      10       
88       30       10       30       52       159      10       
88       35       20       31       50       110      10       
87       30       10       32       116      175      10       
85       25       10       33       51       178      10       
85       35       30       34       100      151      10       
67       85       20       35       61       185      10       
65       85       40       36       43       186      10       
65       82       10       37       113      164      10       
62       80       30       38       37       148      10       
60       80       10       39       36       191      10       
60       85       30       40       50       149      10       
58       75       20       41       48       165      10       
55       80       10       42       33       166      10       
55       85       20       43       117      168      10       
55       82       10       44       35       148      10       
20       82       10       45       37       177      10       
18       80       10       46       98       157      10       
2        45       10       47       38       109      10       
42       5        10       48       120      184      10       
42       12       10       49       79       158      10       
72       35       30       50       104      157      10       
55       20       19       51       69       126      10       
25       30       3        52       36       97       10       
20       50       5        53       57       154      10       
55       60       16       54       127      180      10       
30       60       16       55       95       214      10       
50       35       19       56       88       201      10       
30       25       23       57       82       139      10       
15       10       20       58       56       182      10       
10       20       19       59       42       125      10       
15       60       17       60       137      202      10       
45       65       9        61       55       106      10       
65       35       3        62       29       158      10       
65       20       6        63       39       108      10       
45       30       17       64       20       139      10       
35       40       16       65       11       140      10       
41       37       16       66       92       203      10       
64       42       9        67       28       141      10       
40       60       21       68       100      217      10       
31       52       27       69       9        134      10       
35       69       23       70       60       210      10       
65       55       14       71       52       107      10       
63       65       8        72       27       101      10       
2        60       5        73       65       118      10       
20       20       8        74       72       193      10       
5        5        16       75       60       117      10       
60       12       31       76       42       143      10       
23       3        7        77       52       180      10       
8        56       27       78       46       163      10       
6        68       30       79       54       153      10       
47       47       13       80       97       222      10       
49       58       10       81       80       121      10       
27       43       9        82       26       87       10       
37       31       14       83       19       87       10       
57       29       18       84       62       159      10       
63       23       2        85       76       127      10       
21       24       28       86       77       126      10       
12       24       13       87       68       141      10       
24       58       19       88       24       139      10       
67       5        25       89       105      177      10       
37       47       6        90       74       127      10       
49       42       13       91       151      212      10       
53       43       14       92       14       155      10       
61       52       3        93       69       208      10       
57       48       23       94       86       133      10       
56       37       6        95       20       84       10       
55       54       26       96       121      172      10       
4        18       35       97       112      157      10       
26       52       9        98       30       91       10       
26       35       15       99       37       146      10       
31       67       3        100      66       210      10       
40       50       0        1                                   
