X        Y        NODES    DEPOTS   CAPACITY    TRAVEL TIME              
40       50       100        1        1000           960      
X        Y       DEMAND   NODE      EAR      LAT     SERVICE  
25       85       20       1        613      853      10       
22       75       30       2        92       332      10       
22       85       10       3        411      651      10       
20       80       40       4        584      824      10       
20       85       20       5        40       280      10       
18       75       20       6        328      568      10       
15       75       20       7        240      480      10       
15       80       10       8        307      547      10       
10       35       20       9        311      551      10       
10       40       30       10       459      699      10       
8        40       40       11       135      375      10       
8        45       20       12       163      403      10       
5        35       10       13       593      833      10       
5        45       10       14       35       275      10       
2        40       20       15       114      354      10       
0        40       20       16       195      435      10       
0        45       20       17       643      883      10       
44       5        20       18       275      515      10       
42       10       40       19       194      434      10       
42       15       10       20       477      717      10       
40       5        10       21       155      395      10       
40       15       40       22       315      555      10       
38       5        30       23       141      381      10       
38       15       10       24       621      861      10       
35       5        20       25       664      904      10       
95       30       30       26       469      709      10       
95       35       20       27       86       326      10       
92       30       10       28       89       329      10       
90       35       10       29       134      374      10       
88       30       10       30       186      426      10       
88       35       20       31       105      345      10       
87       30       10       32       561      801      10       
85       25       10       33       51       291      10       
85       35       30       34       427      667      10       
67       85       20       35       597      837      10       
65       85       40       36       43       283      10       
65       82       10       37       497      737      10       
62       80       30       38       218      458      10       
60       80       10       39       36       276      10       
60       85       30       40       269      509      10       
58       75       20       41       316      556      10       
55       80       10       42       33       273      10       
55       85       20       43       514      754      10       
55       82       10       44       157      397      10       
20       82       10       45       37       277      10       
18       80       10       46       429      669      10       
2        45       10       47       45       285      10       
42       5        10       48       664      904      10       
42       12       10       49       380      620      10       
72       35       30       50       447      687      10       
55       20       19       51       266      506      10       
25       30       3        52       115      355      10       
20       50       5        53       315      555      10       
55       60       16       54       541      781      10       
30       60       16       55       539      779      10       
50       35       19       56       497      737      10       
30       25       23       57       337      577      10       
15       10       20       58       662      902      10       
10       20       19       59       42       282      10       
15       60       17       60       634      874      10       
45       65       9        61       198      438      10       
65       35       3        62       107      347      10       
65       20       6        63       39       279      10       
45       30       17       64       131      371      10       
35       40       16       65       11       251      10       
41       37       16       66       506      746      10       
64       42       9        67       208      448      10       
40       60       21       68       552      792      10       
31       52       27       69       97       337      10       
35       69       23       70       690      930      10       
65       55       14       71       181      421      10       
63       65       8        72       27       267      10       
2        60       5        73       226      466      10       
20       20       8        74       585      825      10       
5        5        16       75       172      412      10       
60       12       31       76       208      448      10       
23       3        7        77       660      900      10       
8        56       27       78       305      545      10       
6        68       30       79       292      532      10       
47       47       13       80       702      942      10       
49       58       10       81       295      535      10       
27       43       9        82       92       332      10       
37       31       14       83       45       285      10       
57       29       18       84       335      575      10       
63       23       2        85       284      524      10       
21       24       28       86       289      529      10       
12       24       13       87       299      539      10       
24       58       19       88       200      440      10       
67       5        25       89       653      893      10       
37       47       6        90       299      539      10       
49       42       13       91       659      899      10       
53       43       14       92       14       254      10       
61       52       3        93       688      928      10       
57       48       23       94       332      572      10       
56       37       6        95       40       280      10       
55       54       26       96       502      742      10       
4        18       35       97       487      727      10       
26       52       9        98       112      352      10       
26       35       15       99       248      488      10       
31       67       3        100      690      930      10       
40       50       0        1                                   
